longitude,    EOF1,    EOF2 
0000032, 0.0272216, 0.0105167
1377209080, 0.0267869, 0.0166001
0000000, 0.0284811, 0.0183920
0000000, 0.0328827, 0.0196303
0000000, 0.0368523, 0.0206276
0000000, 0.0358589, 0.0117364
0000000, 0.0363924, 0.0139473
0000000, 0.0324633, 0.0128262
0000000, 0.0332948, 0.0149185
0000000, 0.0339901, 0.0133532
0000000, 0.0327850, 0.0163456
0000000, 0.0350024, 0.0193777
0000000, 0.0332297, 0.0189586
0000000, 0.0283791, 0.0178798
0000000, 0.0263960, 0.0189407
0000000, 0.0179985, 0.0222629
0000000, 0.0098034, 0.0299057
0000000, 0.0080306, 0.0329881
0000000, 0.0070012, 0.0339763
0000000, 0.0048687, 0.0290136
0000000, 0.0066820, 0.0155748
0000000, 0.0110057, 0.0145920
0000000, 0.0152527, 0.0163616
0000000, 0.0179024, 0.0176853
0000000, 0.0232721, 0.0198496
0000000, 0.0255419, 0.0265643
0000000, 0.0234587, 0.0347622
0000000, 0.0189021, 0.0421481
0000000, 0.0170487, 0.0423510
0000000, 0.0225808, 0.0424583
0000000, 0.0270926, 0.0408433
0000000, 0.0302026, 0.0449136
0000000, 0.0309628, 0.0512171
0000000, 0.0274719, 0.0533722
0000000, 0.0210818, 0.0592556
0000000, 0.0176948, 0.0677542
0000000, 0.0161109, 0.0762002
0000000, 0.0058984, 0.0854607
0000000, 0.0021474, 0.0871935
0000000, -0.0096322, 0.0949097
0000000, -0.0193090, 0.1087864
0000000, -0.0241268, 0.1162505
0000000, -0.0270053, 0.1152530
0000000, -0.0294164, 0.1014324
0000000, -0.0355517, 0.0851966
0000000, -0.0368413, 0.0725235
0000000, -0.0367321, 0.0610463
0000000, -0.0362443, 0.0531940
0000000, -0.0319090, 0.0417392
0000000, -0.0231250, 0.0301551
0000000, -0.0233337, 0.0287398
0000000, -0.0295918, 0.0173784
0000000, -0.0358000, 0.0205263
0000000, -0.0434528, 0.0254014
0000000, -0.0501217, 0.0222287
0000000, -0.0552623, 0.0191068
0000000, -0.0640026, 0.0111392
0000000, -0.0729806, 0.0023591
0000000, -0.0832246, -0.0064820
0000000, -0.0810998, -0.0053888
0000000, -0.0685313, -0.0072266
0000000, -0.0662761, -0.0055584
0000000, -0.0711650, -0.0020512
0000000, -0.0830417, 0.0018177
0000000, -0.0855461, 0.0018714
0000000, -0.0813103, -0.0038286
0000000, -0.0764741, -0.0062287
0000000, -0.0712892, -0.0100977
0000000, -0.0699899, -0.0061465
0000000, -0.0704387, -0.0018655
0000000, -0.0697313, -0.0022905
0000000, -0.0699654, -0.0101803
0000000, -0.0678243, -0.0206890
0000000, -0.0643672, -0.0227173
0000000, -0.0591582, -0.0198966
0000000, -0.0596671, -0.0155321
0000000, -0.0579904, -0.0121353
0000000, -0.0534828, -0.0214426
0000000, -0.0495089, -0.0273332
0000000, -0.0393886, -0.0373620
0000000, -0.0230504, -0.0387854
0000000, -0.0099998, -0.0427085
0000000, -0.0025033, -0.0445221
0000000, 0.0009797, -0.0404727
0000000, 0.0021333, -0.0397270
0000000, 0.0083142, -0.0410218
0000000, 0.0125539, -0.0437394
0000000, 0.0137769, -0.0478447
0000000, 0.0122101, -0.0473613
0000000, 0.0157854, -0.0401824
0000000, 0.0197847, -0.0344467
0000000, 0.0262615, -0.0321076
0000000, 0.0271397, -0.0226678
0000000, 0.0242786, -0.0165142
0000000, 0.0222733, -0.0152436
0000000, 0.0192675, -0.0149852
0000000, 0.0130239, -0.0203379
0000000, 0.0118619, -0.0256019
0000000, 0.0036721, -0.0270901
0000000, 0.0016082, -0.0267515
0000000, 0.0020620, -0.0227629
0000000, 0.0021600, -0.0163241
0000000, -0.0002563, -0.0127281
0000000, -0.0013683, -0.0124547
0000000, -0.0016769, -0.0072801
0000000, -0.0022722, -0.0062557
0000000, -0.0009762, -0.0055748
0000000, -0.0009008, -0.0033373
0000000, -0.0003316, -0.0039961
0000000, -0.0028117, -0.0045955
0000000, -0.0031998, -0.0079355
0000000, -0.0039149, -0.0112622
0000000, -0.0042599, -0.0118718
0000000, -0.0050766, -0.0131723
0000000, -0.0094489, -0.0159639
0000000, -0.0100895, -0.0152070
0000000, -0.0090341, -0.0156069
0000000, -0.0049904, -0.0121667
0000000, -0.0056260, -0.0086871
0000000, -0.0076606, -0.0088784
0000000, -0.0085856, -0.0112281
0000000, -0.0049654, -0.0078660
0000000, -0.0015256, -0.0100218
0000000, 0.0033439, -0.0094413
0000000, 0.0091991, -0.0122547
0000000, 0.0118526, -0.0084976
0000000, 0.0130369, -0.0039150
0000000, 0.0148536, -0.0016153
0000000, 0.0155452, -0.0003375
0000000, 0.0159631, 0.0028792
0000000, 0.0143932, 0.0052479
0000000, 0.0175818, 0.0060368
0000000, 0.0214165, 0.0082092
0000000, 0.0254817, 0.0086768
0000000, 0.0298868, 0.0093074
0000000, 0.0325104, 0.0092127
0000000, 0.0392792, 0.0122552
0000000, 0.0399779, 0.0081367
0000000, 0.0354642, 0.0056445
0000000, 0.0281985, 0.0061564
0000000, 0.0321347, 0.0113497
0000000, 0.0328190, 0.0113384
0000000, 0.0232521, 0.0043227
0000000, 0.0262696, 0.0072867
0000000, 0.0213434, 0.0120670
0000000, 0.0126293, 0.0152124
0000000, 0.0094670, 0.0156305
0000000, 0.0087768, 0.0165596
0000000, 0.0071618, 0.0209045
0000000, 0.0074817, 0.0209209
0000000, 0.0085682, 0.0159226
0000000, 0.0089103, 0.0191748
0000000, 0.0086432, 0.0146268
0000000, 0.0054926, 0.0092478
0000000, 0.0024614, 0.0112847
0000000, 0.0013668, 0.0097842
0000000, -0.0019334, 0.0014083
0000000, -0.0005382, 0.0007743
0000000, -0.0001394, 0.0002398
0000000, 0.0023550, -0.0058765
0000000, 0.0017409, -0.0074415
0000000, -0.0000994, -0.0112148
0000000, -0.0028377, -0.0115381
0000000, -0.0067495, -0.0093400
0000000, -0.0046816, -0.0152603
0000000, -0.0008016, -0.0185455
0000000, 0.0039283, -0.0210483
0000000, 0.0100357, -0.0213909
0000000, 0.0126095, -0.0212791
0000000, 0.0164124, -0.0228589
0000000, 0.0209289, -0.0230944
0000000, 0.0216943, -0.0208798
0000000, 0.0193283, -0.0183893
0000000, 0.0165695, -0.0135598
0000000, 0.0189730, -0.0127994
0000000, 0.0230683, -0.0073588
0000000, 0.0240925, -0.0034587
0000000, 0.0242558, -0.0012289
0000000, 0.0263930, 0.0032245
0000000, 0.0272514, 0.0089574
0000000, -0.0140768, -0.0185764
0000000, -0.0125191, -0.0168571
0000000, -0.0120804, -0.0145623
0000000, -0.0117121, -0.0140513
0000000, -0.0110424, -0.0135828
0000000, -0.0095357, -0.0130606
0000000, -0.0091217, -0.0135721
0000000, -0.0072208, -0.0132916
0000000, -0.0055178, -0.0160783
0000000, -0.0029965, -0.0157224
0000000, 0.0000335, -0.0194591
0000000, 0.0014185, -0.0211768
0000000, 0.0052803, -0.0244371
0000000, 0.0040270, -0.0259359
0000000, 0.0059746, -0.0250963
0000000, 0.0057108, -0.0230370
0000000, 0.0088506, -0.0306145
0000000, 0.0095125, -0.0309129
