Time,    RMM1,    RMM2,    phase,    amplitude 
0008035, -0.7892447, 0.1941651, 8, 0.8127775
0008036, -0.8446977, -0.0092444, 1, 0.8447483
0008037, -0.9339123, -0.4157226, 1, 1.0222609
0008038, -0.9502627, -0.6514541, 1, 1.1521249
0008039, -0.9820096, -0.6316962, 1, 1.1676399
0008040, -0.9989710, -1.1610239, 2, 1.5316396
0008041, -1.1623583, -1.4162332, 2, 1.8321552
0008042, -1.0756662, -1.5014504, 2, 1.8470006
0008043, -0.7428911, -1.2291963, 2, 1.4362489
0008044, -0.6249021, -1.1896360, 2, 1.3437769
0008045, -0.5685250, -1.2361369, 2, 1.3606083
0008046, -0.4928361, -0.9660745, 2, 1.0845217
0008047, -0.3061464, -0.8863925, 2, 0.9377725
0008048, -0.0811021, -0.6758754, 2, 0.6807240
0008049, -0.1921261, -0.5846969, 2, 0.6154534
0008050, -0.3039351, -0.5086439, 2, 0.5925328
0008051, -0.3008165, -0.2620401, 1, 0.3989431
0008052, -0.3507360, -0.0112489, 1, 0.3509164
0008053, -0.4130618, 0.1962998, 8, 0.4573332
0008054, -0.5706682, 0.2202736, 8, 0.6117046
0008055, -0.8498443, 0.5183304, 8, 0.9954405
0008056, -1.0867811, 0.6295719, 8, 1.2559674
0008057, -1.1083858, 0.3217619, 8, 1.1541446
0008058, -0.9196220, -0.0063530, 1, 0.9196439
0008059, -0.7819341, -0.2615174, 1, 0.8245074
0008060, -0.9051550, -0.5226807, 1, 1.0452275
0008061, -0.9902275, -0.5136563, 1, 1.1155237
0008062, -0.9652402, -0.4369496, 1, 1.0595347
0008063, -0.8387931, -0.6335078, 1, 1.0511451
0008064, -0.7568314, -0.8559472, 2, 1.1425583
0008065, -0.6421198, -1.1973257, 2, 1.3586415
0008066, -0.7075370, -1.3410619, 2, 1.5162637
0008067, -0.6984171, -1.5593245, 2, 1.7085898
0008068, -0.5316222, -1.5229032, 2, 1.6130271
0008069, -0.4462149, -1.6439852, 2, 1.7034656
0008070, -0.2230992, -1.5697471, 2, 1.5855217
0008071, 0.1659270, -1.4433556, 3, 1.4528617
0008072, 0.4651352, -1.2334431, 3, 1.3182309
0008073, 0.6386073, -1.3942500, 3, 1.5335425
0008074, 0.4836549, -1.1404381, 3, 1.2387578
0008075, 0.3323847, -0.7679673, 3, 0.8368115
0008076, -0.0063219, -0.5795130, 2, 0.5795475
0008077, -0.2416422, -0.6594996, 2, 0.7023750
0008078, -0.5854996, -0.5733648, 1, 0.8194858
0008079, -0.9603016, -0.6531580, 1, 1.1613761
0008080, -1.2053419, -0.9778284, 1, 1.5520946
0008081, -1.1042644, -1.3307408, 2, 1.7292399
0008082, -0.8831601, -1.6386955, 2, 1.8615301
0008083, -0.8051289, -1.8534105, 2, 2.0207334
0008084, -0.4620118, -2.3026617, 2, 2.3485539
0008085, -0.2219968, -2.7009621, 2, 2.7100699
0008086, -0.0882923, -2.4620850, 2, 2.4636676
0008087, 0.0103964, -2.2861953, 3, 2.2862189
0008088, -0.0109665, -2.2126100, 2, 2.2126372
0008089, 0.0293942, -2.0444829, 3, 2.0446942
0008090, -0.0656652, -2.0356455, 2, 2.0367043
0008091, -0.0922843, -2.0334129, 2, 2.0355060
0008092, 0.0283412, -1.9433546, 3, 1.9435612
0008093, 0.1630550, -1.9231668, 3, 1.9300667
0008094, 0.2606471, -1.9226936, 3, 1.9402803
0008095, 0.2717659, -1.9584533, 3, 1.9772192
0008096, 0.2830091, -1.7944199, 3, 1.8166003
0008097, 0.2590077, -1.9661025, 3, 1.9830894
0008098, 0.2635603, -1.5636219, 3, 1.5856788
0008099, 0.2528917, -1.1306138, 3, 1.1585516
0008100, 0.3869214, -1.1930808, 3, 1.2542528
0008101, 0.4453153, -1.0251708, 3, 1.1177124
0008102, 0.5080445, -0.5212634, 3, 0.7278906
0008103, 0.3023269, -0.3434877, 3, 0.4575864
0008104, 0.1525402, -0.3359556, 3, 0.3689643
0008105, 0.5116860, -0.4218368, 4, 0.6631507
0008106, 0.6801453, -0.6477509, 4, 0.9392438
0008107, 0.7296266, -0.6812116, 4, 0.9982005
0008108, 0.5514287, -0.5013801, 4, 0.7452890
0008109, 0.6155100, -0.5981423, 4, 0.8582696
0008110, 0.6917273, -0.8692776, 3, 1.1109141
0008111, 0.5648630, -0.9496014, 3, 1.1049041
0008112, 0.4800431, -0.7343153, 3, 0.8773029
0008113, 0.1641891, -0.3347544, 3, 0.3728520
0008114, -0.2454774, -0.1376101, 1, 0.2814173
0008115, -0.3785282, 0.0947355, 8, 0.3902031
0008116, -0.6359257, 0.2688082, 8, 0.6904052
0008117, -0.9968146, 0.3458341, 8, 1.0551022
0008118, -1.1940815, 0.5062977, 8, 1.2969842
0008119, -1.4149871, 0.3850850, 8, 1.4664510
0008120, -1.3828149, 0.2492450, 8, 1.4050978
0008121, -1.2501675, 0.1943282, 8, 1.2651807
0008122, -1.1742479, 0.1284678, 8, 1.1812544
0008123, -1.0068278, 0.4444617, 8, 1.1005673
0008124, -0.8025190, 0.4548115, 8, 0.9224371
0008125, -0.4564441, -0.0213795, 1, 0.4569445
0008126, -0.3626900, -0.4551952, 2, 0.5820194
0008127, -0.2238821, -0.5919920, 2, 0.6329121
0008128, -0.0804877, -0.3722022, 2, 0.3808054
0008129, 0.0991198, -0.2932874, 3, 0.3095840
0008130, 0.1676093, -0.3241742, 3, 0.3649408
0008131, 0.1417989, -0.3003702, 3, 0.3321584
0008132, 0.1223176, -0.0417497, 4, 0.1292465
0008133, 0.0586868, 0.1420830, 6, 0.1537261
0008134, -0.0877464, 0.2279427, 7, 0.2442485
0008135, -0.2512414, 0.0738958, 8, 0.2618833
0008136, -0.3151395, 0.1065485, 8, 0.3326643
0008137, -0.1304854, 0.0246003, 8, 0.1327841
0008138, 0.1857454, -0.1189727, 4, 0.2205807
0008139, 0.5301746, -0.3274992, 4, 0.6231700
0008140, 0.8900389, -0.4270840, 4, 0.9872031
0008141, 1.1995264, -0.7114153, 4, 1.3946238
0008142, 1.2120239, -0.8087451, 4, 1.4570760
0008143, 1.1895771, -0.5683414, 4, 1.3183722
0008144, 1.2085452, -0.2295262, 4, 1.2301478
0008145, 1.1612828, -0.0939208, 4, 1.1650746
0008146, 1.0646958, -0.0736110, 4, 1.0672375
0008147, 0.9056903, 0.1599492, 5, 0.9197057
0008148, 0.6977521, 0.3732767, 5, 0.7913238
0008149, 0.5603922, 0.6470246, 6, 0.8559674
0008150, 0.5328112, 0.8258383, 6, 0.9828004
0008151, 0.5667720, 0.9818943, 6, 1.1337314
0008152, 0.5883157, 0.8078681, 6, 0.9993830
0008153, 0.6231261, 0.5608584, 5, 0.8383604
0008154, 0.6387614, 0.5351171, 5, 0.8332865
0008155, 0.7554962, 0.6962093, 5, 1.0273664
0008156, 1.0131979, 0.9895718, 5, 1.4162705
0008157, 1.1929158, 1.2690822, 6, 1.7417284
0008158, 1.4017034, 1.2836870, 5, 1.9006906
0008159, 1.2762460, 1.1835606, 5, 1.7405802
0008160, 0.9636614, 1.1479017, 6, 1.4987733
0008161, 0.9270951, 1.5046130, 6, 1.7673047
0008162, 0.9073040, 1.6345888, 6, 1.8695136
0008163, 0.8916740, 1.5007235, 6, 1.7456385
0008164, 0.8436688, 1.4267045, 6, 1.6574869
0008165, 0.6168449, 1.3868222, 6, 1.5178187
0008166, 0.4468165, 1.3376505, 6, 1.4103028
0008167, 0.4266027, 1.4341342, 6, 1.4962389
0008168, 0.3868800, 1.3817806, 6, 1.4349195
0008169, 0.2803025, 1.3833123, 6, 1.4114257
0008170, 0.1744206, 1.3136132, 6, 1.3251424
0008171, 0.0595398, 0.8879128, 6, 0.8899068
0008172, -0.1335366, 0.6406123, 7, 0.6543822
0008173, -0.3493090, 0.5657678, 7, 0.6649135
0008174, -0.3864921, 0.5744186, 7, 0.6923387
0008175, -0.4371200, 0.4554414, 7, 0.6312691
0008176, -0.3806898, 0.5294781, 7, 0.6521286
0008177, -0.5248742, 0.6861824, 7, 0.8639092
0008178, -0.6067161, 0.7438930, 7, 0.9599381
