Time,    RMM1,    RMM2,    phase,    amplitude 
0015088, 0.6312320, -2.4421759, 3, 2.5224347
0015089, 1.1381001, -2.2287538, 3, 2.5025218
0015090, 1.5441201, -1.9108769, 3, 2.4567778
0015091, 1.7833482, -1.4765706, 4, 2.3152952
0015092, 1.9366657, -1.1352326, 4, 2.2448668
0015093, 1.8964627, -0.8145266, 4, 2.0639825
0015094, 2.0876780, -0.3357565, 4, 2.1145051
0015095, 2.1076508, 0.1366314, 5, 2.1120749
0015096, 1.7236079, 0.5823122, 5, 1.8193163
0015097, 1.3390480, 1.0003664, 5, 1.6714612
0015098, 0.9393985, 1.3212985, 6, 1.6212031
0015099, 0.6345230, 1.5645275, 6, 1.6883026
0015100, 0.2482557, 1.8348441, 6, 1.8515626
0015101, 0.1413469, 1.9885948, 6, 1.9936118
0015102, 0.2587513, 2.0200305, 6, 2.0365350
0015103, 0.3042019, 2.0240264, 6, 2.0467589
0015104, 0.0614767, 2.1384592, 6, 2.1393425
0015105, -0.2438594, 2.0783479, 7, 2.0926054
0015106, -0.6156098, 2.0365939, 7, 2.1276019
0015107, -0.9813064, 1.7226543, 7, 1.9825490
0015108, -1.1607523, 1.1262039, 8, 1.6173067
0015109, -1.2128987, 0.9045443, 8, 1.5130512
0015110, -0.9350157, 0.9564908, 7, 1.3375832
0015111, -0.9129994, 0.9985386, 7, 1.3530141
0015112, -0.8736961, 0.8776869, 7, 1.2384180
0015113, -1.0950711, 0.9139551, 8, 1.4263572
0015114, -1.0222290, 0.7274980, 8, 1.2546735
0015115, -0.9504159, 0.6711065, 8, 1.1634752
0015116, -1.1456666, 0.5318874, 8, 1.2631136
0015117, -1.3132579, 0.3444717, 8, 1.3576845
0015118, -1.4315331, 0.2952430, 8, 1.4616619
0015119, -1.3186888, 0.1354517, 8, 1.3256271
0015120, -1.3898692, -0.1695407, 1, 1.4001716
0015121, -1.2975119, -0.7809252, 1, 1.5143914
0015122, -1.0950283, -1.3479853, 2, 1.7367070
0015123, -1.1404425, -1.8445069, 2, 2.1685975
0015124, -1.0688044, -2.3280900, 2, 2.5617075
0015125, -0.6945330, -2.7067244, 2, 2.7944109
0015126, -0.0592434, -2.7008817, 2, 2.7015314
0015127, 0.2606184, -2.5411780, 3, 2.5545073
0015128, 0.5515382, -2.2569718, 3, 2.3233845
0015129, 0.9606115, -1.9184130, 3, 2.1454797
0015130, 1.2277850, -1.6857340, 3, 2.0854628
0015131, 0.9474467, -1.6583365, 3, 1.9099046
0015132, 0.7319628, -1.5217838, 3, 1.6886667
0015133, 0.6647679, -1.1705954, 3, 1.3461835
0015134, 0.8167105, -0.8305367, 3, 1.1648208
0015135, 0.9009274, -0.9500553, 3, 1.3093033
0015136, 0.9104682, -0.8781183, 4, 1.2649285
0015137, 0.9686914, -0.7405764, 4, 1.2193508
0015138, 1.1878383, -0.6344363, 4, 1.3466512
0015139, 1.5139842, -0.4353729, 4, 1.5753405
0015140, 1.9305829, -0.1100212, 4, 1.9337153
0015141, 2.1585548, 0.0744417, 5, 2.1598382
0015142, 1.8149996, 0.0756105, 5, 1.8165739
0015143, 1.4280268, 0.1643499, 5, 1.4374532
0015144, 1.0683815, 0.3814032, 5, 1.1344194
0015145, 0.9026808, 0.3974876, 5, 0.9863210
0015146, 0.7768991, 0.4313653, 5, 0.8886215
0015147, 0.8546699, 0.7226726, 5, 1.1192482
0015148, 0.6898376, 0.6469670, 5, 0.9457496
0015149, 0.3157361, 0.6079177, 6, 0.6850206
0015150, 0.4028187, 0.6602514, 6, 0.7734305
0015151, 0.3810155, 0.9953092, 6, 1.0657454
0015152, 0.3453304, 1.2190820, 6, 1.2670493
0015153, 0.2431146, 1.0931768, 6, 1.1198840
0015154, 0.0307301, 0.8437089, 6, 0.8442683
0015155, 0.0057594, 0.9075525, 6, 0.9075708
0015156, 0.0809600, 0.7387631, 6, 0.7431860
0015157, 0.1126098, 0.5151336, 6, 0.5272984
0015158, -0.3588041, 0.3937851, 7, 0.5327355
0015159, -0.6357635, 0.1963644, 8, 0.6653978
0015160, -0.9409760, 0.0848072, 8, 0.9447900
0015161, -1.1089313, -0.2093970, 1, 1.1285281
0015162, -1.4491886, -0.0506740, 1, 1.4500742
0015163, -1.2315074, 0.1647433, 8, 1.2424778
0015164, -0.9003484, 0.1488439, 8, 0.9125687
0015165, -0.5058078, 0.0322332, 8, 0.5068338
0015166, -0.4474441, -0.1584989, 1, 0.4746875
0015167, -0.3928241, 0.0020822, 8, 0.3928296
0015168, -0.1488941, 0.0926372, 8, 0.1753599
0015169, 0.0653364, 0.1351625, 6, 0.1501257
0015170, 0.0839245, 0.0651159, 5, 0.1062234
0015171, 0.0081021, -0.1604929, 3, 0.1606972
0015172, -0.2587762, -0.1918925, 1, 0.3221612
0015173, -0.4090033, -0.1800721, 1, 0.4468889
0015174, -0.3088126, -0.4469544, 2, 0.5432619
0015175, -0.6608829, -0.6839260, 2, 0.9510632
0015176, -0.7701293, -0.9136711, 2, 1.1949451
0015177, -0.4685394, -0.9091181, 2, 1.0227536
0015178, 0.0052434, -0.6181504, 3, 0.6181726
0015179, 0.3996465, -0.0090216, 4, 0.3997483
0015180, 0.7042181, -0.0297287, 4, 0.7048454
0015181, 0.9380024, -0.2486118, 4, 0.9703898
0015182, 0.8159688, -0.2226160, 4, 0.8457913
0015183, 0.7289520, 0.0001040, 5, 0.7289520
0015184, 0.7220747, -0.0108197, 4, 0.7221558
0015185, 0.7412304, 0.0378422, 5, 0.7421957
0015186, 0.9082941, 0.1682513, 5, 0.9237460
0015187, 0.8856983, 0.5212863, 5, 1.0277163
0015188, 0.8563536, 0.4908414, 5, 0.9870495
0015189, 0.6588145, 0.4481337, 5, 0.7967813
