longitude,    EOF1,    EOF2 
0000000, 0.0295895, 0.0028288
0000000, 0.0216877, -0.0072071
0000000, 0.0148329, -0.0188133
0000000, 0.0145912, -0.0287193
0000000, 0.0162707, -0.0304020
0000000, 0.0144964, -0.0289359
0000000, 0.0095960, -0.0253084
0000000, 0.0078280, -0.0209557
0000000, 0.0073790, -0.0156399
0000000, 0.0068557, -0.0140822
0000000, 0.0066097, -0.0137733
0000000, 0.0046854, -0.0128950
0000000, 0.0038424, -0.0088366
0000000, 0.0032577, -0.0053773
0000000, 0.0043715, -0.0048598
0000000, 0.0038863, -0.0053096
0000000, 0.0034237, -0.0033740
0000000, 0.0041484, 0.0006810
0000000, 0.0037087, 0.0031805
0000000, 0.0051572, 0.0019067
0000000, 0.0081001, -0.0006066
0000000, 0.0125826, -0.0022260
0000000, 0.0129756, -0.0066450
0000000, 0.0135914, -0.0090930
0000000, 0.0165356, -0.0075916
0000000, 0.0203315, -0.0035572
0000000, -0.0030698, -0.0143097
0000000, -0.0057544, -0.0123473
0000000, -0.0076167, -0.0116978
0000000, -0.0075840, -0.0130556
0000000, -0.0090196, -0.0113563
0000000, -0.0083006, -0.0141994
0000000, -0.0067020, -0.0130498
0000000, -0.0059133, -0.0108050
0000000, -0.0060670, -0.0163109
0000000, -0.0065578, -0.0150669
0000000, -0.0060937, -0.0215266
0000000, -0.0072867, -0.0248169
0000000, -0.0068617, -0.0220986
0000000, -0.0048390, -0.0221276
0000000, -0.0024165, -0.0240210
0000000, -0.0003943, -0.0224708
0000000, -0.0009939, -0.0304898
0000000, 0.0022200, -0.0280181
0000000, 0.0021700, -0.0194317
0000000, 0.0034149, -0.0118842
0000000, 0.0047431, -0.0132696
0000000, 0.0094526, -0.0147255
0000000, 0.0132566, -0.0162271
0000000, 0.0119177, -0.0152097
0000000, 0.0161447, -0.0146490
0000000, 0.0151574, -0.0143954
0000000, 0.0163001, -0.0183298
0000000, 0.0174724, -0.0248552
0000000, 0.0180266, -0.0310998
0000000, 0.0212292, -0.0366837
0000000, 0.0242923, -0.0429299
0000000, 0.0269163, -0.0504039
0000000, 0.0286118, -0.0582563
0000000, 0.0303749, -0.0648872
0000000, 0.0304110, -0.0713839
0000000, 0.0315156, -0.0775586
0000000, 0.0343787, -0.0811743
0000000, 0.0366873, -0.0830254
0000000, 0.0410674, -0.0837274
0000000, 0.0428395, -0.0821699
0000000, 0.0447710, -0.0810970
0000000, 0.0501280, -0.0777049
0000000, 0.0565524, -0.0740167
