longitude,    EOF1,    EOF2 
0000032, 0.0166869, 0.0033786
1377209080, 0.0173776, 0.0131875
0000000, 0.0189210, 0.0220746
0000000, 0.0185521, 0.0283898
0000000, 0.0178047, 0.0326554
0000000, 0.0173874, 0.0256571
0000000, 0.0206408, 0.0230936
0000000, 0.0257381, 0.0231452
0000000, 0.0296461, 0.0196507
0000000, 0.0334128, 0.0152428
0000000, 0.0336264, 0.0072842
0000000, 0.0363840, 0.0033191
0000000, 0.0362023, -0.0025494
0000000, 0.0325977, -0.0080338
0000000, 0.0256183, -0.0109536
0000000, 0.0189669, -0.0091489
0000000, 0.0137087, 0.0045830
0000000, 0.0048877, 0.0103023
0000000, 0.0010749, 0.0086213
0000000, 0.0013902, 0.0007114
0000000, 0.0045894, -0.0079849
0000000, 0.0044431, -0.0111501
0000000, 0.0031582, -0.0113934
0000000, 0.0037268, -0.0078475
0000000, 0.0060093, -0.0054191
0000000, 0.0108944, -0.0042009
0000000, 0.0148045, -0.0025697
0000000, 0.0161802, 0.0029576
0000000, 0.0192610, 0.0081718
0000000, 0.0193679, 0.0162833
0000000, 0.0193816, 0.0221395
0000000, 0.0186956, 0.0318421
0000000, 0.0163739, 0.0399606
0000000, 0.0115773, 0.0466791
0000000, 0.0076288, 0.0543245
0000000, 0.0068162, 0.0596969
0000000, 0.0070345, 0.0629396
0000000, 0.0071042, 0.0658538
0000000, 0.0092783, 0.0665201
0000000, 0.0121633, 0.0717190
0000000, 0.0148279, 0.0765523
0000000, 0.0153423, 0.0794796
0000000, 0.0202383, 0.0811533
0000000, 0.0233242, 0.0817064
0000000, 0.0189967, 0.0807929
0000000, 0.0119596, 0.0751299
0000000, 0.0065669, 0.0767276
0000000, 0.0022410, 0.0732504
0000000, 0.0023432, 0.0635654
0000000, 0.0038910, 0.0594854
0000000, -0.0005066, 0.0534735
0000000, -0.0138049, 0.0467811
0000000, -0.0187533, 0.0424163
0000000, -0.0236930, 0.0424725
0000000, -0.0282656, 0.0392733
0000000, -0.0276769, 0.0387478
0000000, -0.0275554, 0.0382529
0000000, -0.0362764, 0.0343404
0000000, -0.0470143, 0.0239033
0000000, -0.0476841, 0.0178325
0000000, -0.0488621, 0.0151069
0000000, -0.0489203, 0.0093497
0000000, -0.0498121, 0.0071214
0000000, -0.0540484, 0.0033419
0000000, -0.0605683, 0.0024162
0000000, -0.0636988, 0.0030359
0000000, -0.0612882, 0.0072281
0000000, -0.0633184, 0.0057320
0000000, -0.0662014, 0.0010625
0000000, -0.0702089, -0.0040721
0000000, -0.0765143, -0.0095701
0000000, -0.0743374, -0.0054891
0000000, -0.0736585, -0.0099006
0000000, -0.0701735, -0.0185120
0000000, -0.0697627, -0.0247704
0000000, -0.0638289, -0.0282410
0000000, -0.0585397, -0.0240050
0000000, -0.0558264, -0.0246585
0000000, -0.0485541, -0.0241382
0000000, -0.0387776, -0.0194354
0000000, -0.0272284, -0.0117363
0000000, -0.0177841, -0.0068550
0000000, -0.0090355, -0.0058704
0000000, -0.0007943, -0.0121433
0000000, 0.0004084, -0.0129591
0000000, 0.0023729, -0.0143432
0000000, 0.0006297, -0.0178660
0000000, -0.0038475, -0.0167828
0000000, -0.0078780, -0.0152515
0000000, -0.0061807, -0.0115527
0000000, -0.0053372, -0.0063587
0000000, -0.0029547, -0.0072548
0000000, -0.0031233, -0.0056747
0000000, -0.0041136, -0.0080548
0000000, -0.0061133, -0.0084755
0000000, -0.0079188, -0.0067485
0000000, -0.0063931, -0.0107581
0000000, -0.0056209, -0.0156884
0000000, -0.0053881, -0.0204044
0000000, -0.0044458, -0.0256183
0000000, -0.0046148, -0.0304739
0000000, -0.0038450, -0.0314366
0000000, 0.0010360, -0.0313357
0000000, 0.0033096, -0.0317029
0000000, 0.0089810, -0.0303310
0000000, 0.0097150, -0.0244163
0000000, 0.0113847, -0.0222116
0000000, 0.0131102, -0.0168271
0000000, 0.0125226, -0.0130661
0000000, 0.0119884, -0.0080989
0000000, 0.0109978, -0.0068816
0000000, 0.0076278, -0.0090707
0000000, 0.0057641, -0.0101922
0000000, 0.0059296, -0.0123584
0000000, 0.0062110, -0.0133965
0000000, 0.0083092, -0.0134188
0000000, 0.0090416, -0.0156556
0000000, 0.0128992, -0.0154058
0000000, 0.0144561, -0.0177961
0000000, 0.0137944, -0.0197983
0000000, 0.0129576, -0.0213162
0000000, 0.0107554, -0.0168135
0000000, 0.0093166, -0.0154273
0000000, 0.0120278, -0.0143320
0000000, 0.0122949, -0.0148427
0000000, 0.0148320, -0.0103464
0000000, 0.0199147, -0.0049442
0000000, 0.0237320, -0.0009550
0000000, 0.0230267, 0.0030166
0000000, 0.0227854, 0.0018935
0000000, 0.0194821, 0.0005447
0000000, 0.0148376, 0.0015345
0000000, 0.0139999, 0.0041108
0000000, 0.0183989, 0.0081680
0000000, 0.0182066, 0.0069996
0000000, 0.0167860, 0.0061317
0000000, 0.0155820, 0.0064117
0000000, 0.0174056, 0.0078555
0000000, 0.0131996, 0.0085490
0000000, 0.0137306, 0.0131097
0000000, 0.0205981, 0.0259177
0000000, 0.0274857, 0.0373551
0000000, 0.0300719, 0.0426859
0000000, 0.0327990, 0.0432169
0000000, 0.0332965, 0.0388691
0000000, 0.0282317, 0.0263263
0000000, 0.0212164, 0.0168843
0000000, 0.0160422, 0.0052344
0000000, 0.0142851, 0.0005703
0000000, 0.0174806, -0.0017042
0000000, 0.0189121, -0.0041556
0000000, 0.0216351, -0.0039964
0000000, 0.0256932, -0.0050563
0000000, 0.0269040, -0.0041240
0000000, 0.0280781, -0.0018150
0000000, 0.0282876, -0.0052242
0000000, 0.0278792, -0.0131137
0000000, 0.0266188, -0.0180897
0000000, 0.0213629, -0.0215950
0000000, 0.0144789, -0.0246863
0000000, 0.0086422, -0.0238940
0000000, 0.0042155, -0.0218686
0000000, 0.0027627, -0.0208565
0000000, -0.0001300, -0.0187488
0000000, -0.0003563, -0.0178783
0000000, -0.0016400, -0.0136748
0000000, -0.0024648, -0.0125196
0000000, -0.0002248, -0.0117735
0000000, 0.0007124, -0.0138097
0000000, 0.0038446, -0.0132466
0000000, 0.0062192, -0.0116773
0000000, 0.0081992, -0.0078696
0000000, 0.0095976, -0.0069363
0000000, 0.0104814, -0.0106893
0000000, 0.0116018, -0.0141749
0000000, 0.0094977, -0.0183559
0000000, 0.0106892, -0.0173297
0000000, 0.0115313, -0.0136861
0000000, 0.0128493, -0.0070966
0000000, 0.0140096, -0.0025654
0000000, -0.0021971, -0.0077971
0000000, -0.0005592, -0.0086109
0000000, 0.0004591, -0.0094621
0000000, 0.0031662, -0.0110481
0000000, 0.0050165, -0.0138915
0000000, 0.0076007, -0.0159482
0000000, 0.0077689, -0.0173222
0000000, 0.0054578, -0.0161602
0000000, 0.0061641, -0.0199430
0000000, 0.0052680, -0.0215999
0000000, 0.0058024, -0.0253749
0000000, 0.0070847, -0.0317010
0000000, 0.0077763, -0.0342496
0000000, 0.0080655, -0.0317303
0000000, 0.0088386, -0.0312035
0000000, 0.0081560, -0.0267227
0000000, 0.0103208, -0.0295069
0000000, 0.0115907, -0.0287517
0000000, 0.0107080, -0.0228802
0000000, 0.0080868, -0.0179382
0000000, 0.0131966, -0.0220381
0000000, 0.0150175, -0.0251659
0000000, 0.0216545, -0.0259152
0000000, 0.0230057, -0.0289057
0000000, 0.0283597, -0.0316145
0000000, 0.0298025, -0.0317419
0000000, 0.0335334, -0.0338924
0000000, 0.0383850, -0.0377202
0000000, 0.0425831, -0.0428650
0000000, 0.0450569, -0.0464980
0000000, 0.0471066, -0.0492679
0000000, 0.0485844, -0.0502094
0000000, 0.0501161, -0.0517634
0000000, 0.0514023, -0.0516795
0000000, 0.0531660, -0.0519499
0000000, 0.0547922, -0.0526378
0000000, 0.0561295, -0.0521524
0000000, 0.0578799, -0.0501172
0000000, 0.0597268, -0.0473472
0000000, 0.0642470, -0.0443055
0000000, 0.0673261, -0.0417855
0000000, 0.0728438, -0.0357511
0000000, 0.0748773, -0.0300474
0000000, 0.0774782, -0.0257216
0000000, 0.0798254, -0.0212997
0000000, 0.0827583, -0.0162516
0000000, 0.0834212, -0.0108251
0000000, 0.0838547, -0.0063759
0000000, 0.0829526, -0.0007946
0000000, 0.0799566, 0.0057999
0000000, 0.0853430, 0.0133815
0000000, 0.0894046, 0.0223454
0000000, 0.0946712, 0.0292377
0000000, 0.0972079, 0.0345177
0000000, 0.0975683, 0.0379198
0000000, 0.0967718, 0.0377132
0000000, 0.0951873, 0.0425522
0000000, 0.0943113, 0.0485724
0000000, 0.0939327, 0.0559915
0000000, 0.0919295, 0.0617453
0000000, 0.0922952, 0.0685439
0000000, 0.0884535, 0.0716514
0000000, 0.0831093, 0.0724722
0000000, 0.0845869, 0.0818614
0000000, 0.0784893, 0.0804216
0000000, 0.0754404, 0.0833955
0000000, 0.0743512, 0.0863205
0000000, 0.0739040, 0.0900501
0000000, 0.0698946, 0.0924278
0000000, 0.0670569, 0.0988211
0000000, 0.0613160, 0.1019251
0000000, 0.0546447, 0.1020741
0000000, 0.0474861, 0.0990724
0000000, 0.0414796, 0.0979352
0000000, 0.0353807, 0.0965724
0000000, 0.0291372, 0.0927289
0000000, 0.0207807, 0.0929167
0000000, 0.0113843, 0.0932394
0000000, 0.0022942, 0.0945884
0000000, -0.0071949, 0.0958274
0000000, -0.0146323, 0.0977780
0000000, -0.0198193, 0.1015068
0000000, -0.0243339, 0.1044525
0000000, -0.0285310, 0.1059695
0000000, -0.0311189, 0.1043962
0000000, -0.0325616, 0.1016587
0000000, -0.0337581, 0.0981553
0000000, -0.0349654, 0.0947135
0000000, -0.0376544, 0.0908541
0000000, -0.0405985, 0.0878805
0000000, -0.0441400, 0.0842754
0000000, -0.0484458, 0.0817185
0000000, -0.0511803, 0.0802065
0000000, -0.0533204, 0.0791396
0000000, -0.0557815, 0.0784078
0000000, -0.0582854, 0.0775889
0000000, -0.0613753, 0.0766940
0000000, -0.0643642, 0.0758118
0000000, -0.0677216, 0.0751415
0000000, -0.0709063, 0.0734609
0000000, -0.0730631, 0.0706019
0000000, -0.0747538, 0.0658683
0000000, -0.0757526, 0.0613014
0000000, -0.0761517, 0.0554811
0000000, -0.0757394, 0.0487328
0000000, -0.0748938, 0.0430922
0000000, -0.0754230, 0.0377318
0000000, -0.0764097, 0.0340190
0000000, -0.0757539, 0.0303013
