Time,    RMM1,    RMM2,    phase,    amplitude 
0000365, 0.1176797, 1.3769186, 6, 1.3819382
0000366, -0.0380871, 1.6500852, 7, 1.6505247
0000367, -0.1160055, 2.0426922, 7, 2.0459836
0000368, -0.1384453, 2.0656209, 7, 2.0702553
0000369, -0.2916406, 1.9210507, 7, 1.9430619
0000370, -0.3337314, 1.6992716, 7, 1.7317334
0000371, -0.1384895, 1.4095672, 7, 1.4163542
0000372, 0.1885986, 1.3150780, 6, 1.3285329
0000373, 0.4819783, 1.4063505, 6, 1.4866488
0000374, 0.5996700, 1.6846054, 6, 1.7881553
0000375, 0.4673391, 1.7366117, 6, 1.7983954
0000376, 0.0102752, 2.0462215, 6, 2.0462472
0000377, -0.1268232, 2.1391871, 7, 2.1429431
0000378, -0.3455198, 1.9965062, 7, 2.0261838
0000379, -0.4397873, 1.8514545, 7, 1.9029706
0000380, -0.5040762, 1.8542566, 7, 1.9215516
0000381, -0.2884167, 2.2379980, 7, 2.2565060
0000382, -0.3756779, 2.5203998, 7, 2.5482442
0000383, -0.6812909, 2.4599237, 7, 2.5525246
0000384, -1.3325406, 2.2247171, 7, 2.5932665
0000385, -1.7715852, 1.7727604, 7, 2.5062311
0000386, -2.0027039, 1.4359226, 8, 2.4642842
0000387, -1.8701665, 0.9567203, 8, 2.1006753
0000388, -1.7971709, 0.7067311, 8, 1.9311374
0000389, -1.5589682, 0.4200355, 8, 1.6145623
0000390, -1.1769779, 0.1109980, 8, 1.1822002
0000391, -0.9412236, -0.1820538, 1, 0.9586685
0000392, -0.7415379, -0.3846582, 1, 0.8353684
0000393, -0.5905575, -0.5470928, 1, 0.8050272
0000394, -0.3344980, -0.6226523, 2, 0.7068131
0000395, -0.1626823, -0.6563620, 2, 0.6762223
0000396, -0.1242531, -0.3033284, 2, 0.3277910
0000397, -0.1944600, -0.0662104, 1, 0.2054227
0000398, -0.4250994, -0.2146203, 1, 0.4762052
0000399, -0.6306955, -0.5145215, 1, 0.8139467
0000400, -0.5563290, -0.4325586, 1, 0.7047048
0000401, -0.5325798, -0.5691358, 2, 0.7794593
0000402, -0.3655654, -0.8824591, 2, 0.9551817
0000403, -0.2747989, -0.9525366, 2, 0.9913831
0000404, -0.1019632, -1.1124920, 2, 1.1171548
0000405, 0.0120909, -1.3323230, 3, 1.3323778
0000406, 0.0730627, -1.4234309, 3, 1.4253048
0000407, 0.0800199, -1.5475662, 3, 1.5496336
0000408, 0.1346794, -1.9328619, 3, 1.9375484
0000409, 0.1142227, -1.9340640, 3, 1.9374340
0000410, 0.3125326, -1.9355048, 3, 1.9605752
0000411, 0.3263023, -1.6891549, 3, 1.7203829
0000412, 0.2797435, -1.5139714, 3, 1.5395993
0000413, 0.1521437, -0.8943248, 3, 0.9071739
0000414, 0.2594218, -0.5729820, 3, 0.6289738
0000415, 0.5269570, -0.3583797, 4, 0.6372752
0000416, 0.3164813, -0.2510404, 4, 0.4039575
0000417, 0.2964542, -0.3716313, 3, 0.4753892
0000418, 0.3022667, -0.6256810, 3, 0.6948682
0000419, 0.5021821, -0.7674785, 3, 0.9171751
0000420, 0.6482514, -0.6529269, 3, 0.9200779
0000421, 0.7707136, -0.6427688, 4, 1.0035692
0000422, 0.7446554, -0.9198523, 3, 1.1834863
0000423, 0.4972835, -0.9439812, 3, 1.0669543
0000424, 0.2650126, -0.8276648, 3, 0.8690574
0000425, 0.3986024, -0.8415889, 3, 0.9312120
0000426, 0.6727909, -0.7442593, 3, 1.0032793
0000427, 0.5791298, -0.7754191, 3, 0.9678151
0000428, 0.5876136, -0.8140015, 3, 1.0039364
0000429, 0.6403522, -1.0223119, 3, 1.2063054
0000430, 0.7664608, -1.2745212, 3, 1.4872345
0000431, 1.1285667, -1.3218963, 3, 1.7381234
0000432, 1.6121386, -0.9826537, 4, 1.8880147
0000433, 1.8115265, -0.5084236, 4, 1.8815215
0000434, 1.8254662, -0.2617685, 4, 1.8441392
0000435, 1.7716492, -0.3147478, 4, 1.7993908
0000436, 1.7761427, -0.2239968, 4, 1.7902116
0000437, 1.5933014, -0.0596865, 4, 1.5944190
0000438, 1.4266086, 0.1224731, 5, 1.4318560
0000439, 1.1560814, 0.2539693, 5, 1.1836489
0000440, 0.7887896, 0.2915774, 5, 0.8409557
0000441, 0.3812375, 0.1697035, 5, 0.4173025
0000442, -0.0954367, 0.2125165, 7, 0.2329623
0000443, -0.5456092, 0.1950480, 8, 0.5794248
0000444, -0.7516615, 0.1977445, 8, 0.7772374
0000445, -1.0275714, 0.1817546, 8, 1.0435219
0000446, -1.2939035, 0.0335127, 8, 1.2943374
0000447, -1.4024264, -0.4396802, 1, 1.4697341
0000448, -1.1466914, -0.9198570, 1, 1.4700470
0000449, -0.7892222, -1.0123193, 2, 1.2836130
0000450, -0.5679555, -0.7545491, 2, 0.9444140
0000451, -0.1062977, -0.5266145, 2, 0.5372356
0000452, 0.1640446, -0.5062107, 3, 0.5321277
0000453, 0.2462596, -0.6702228, 3, 0.7140325
0000454, 0.0579774, -0.8872827, 3, 0.8891749
0000455, -0.0634178, -0.8191532, 2, 0.8216044
0000456, -0.0804878, -0.9846261, 2, 0.9879103
0000457, 0.0375322, -1.3961724, 3, 1.3966768
0000458, 0.0902512, -1.5102192, 3, 1.5129136
0000459, 0.1220795, -1.5670840, 3, 1.5718318
0000460, 0.2758660, -1.5849302, 3, 1.6087590
0000461, 0.5562094, -1.5201709, 3, 1.6187305
0000462, 0.7552984, -1.4051638, 3, 1.5952934
0000463, 0.9909328, -1.2017692, 3, 1.5576254
0000464, 1.2685508, -0.8601097, 4, 1.5326478
0000465, 1.5400029, -0.4392782, 4, 1.6014289
0000466, 1.6104071, -0.0768714, 4, 1.6122407
0000467, 1.4128064, 0.1644328, 5, 1.4223431
0000468, 1.0685019, 0.3314902, 5, 1.1187413
0000469, 0.8098750, 0.6293334, 5, 1.0256500
0000470, 0.4705701, 0.9741434, 6, 1.0818464
0000471, 0.2936546, 1.1263750, 6, 1.1640247
0000472, -0.0317128, 1.1624528, 7, 1.1628853
0000473, -0.3776287, 1.1810905, 7, 1.2399912
0000474, -0.8598622, 1.3015264, 7, 1.5599148
0000475, -1.3258804, 1.0665599, 8, 1.7016195
0000476, -1.5949752, 0.6486652, 8, 1.7218341
0000477, -1.5791372, 0.1403757, 8, 1.5853642
0000478, -1.4910276, -0.1073525, 1, 1.4948874
