,year,month,day,RMM1,RMM2,phase,amplitude
2013-01-01,2013,1,1,0.66239119,-0.83868408,3,1.0687156
2013-01-02,2013,1,2,0.82317978,-0.63821268,4,1.0416048
2013-01-03,2013,1,3,0.95948124,-0.235185,4,0.9878847
2013-01-04,2013,1,4,1.4117535,-0.2631382,4,1.4360675
2013-01-05,2013,1,5,2.007468,-0.44424364,4,2.056035
2013-01-06,2013,1,6,2.2505808,-0.30391303,4,2.271008
2013-01-07,2013,1,7,2.1761627,0.0780505538,5,2.177562
2013-01-08,2013,1,8,2.0770333,0.48855555,5,2.1337183
2013-01-09,2013,1,9,1.8668735,0.98192167,5,2.1093569
2013-01-10,2013,1,10,1.6615181,1.5159508,5,2.2491663
2013-01-11,2013,1,11,1.0478257,1.9605297,6,2.2229743
2013-01-12,2013,1,12,0.41639927,2.4738247,6,2.5086246
2013-01-13,2013,1,13,0.20108101,2.4783132,6,2.4864573
2013-01-14,2013,1,14,-0.0626823753,2.6559894,7,2.656729
2013-01-15,2013,1,15,-0.36101341,2.5252457,7,2.5509207
2013-01-16,2013,1,16,-0.40446526,2.4587476,7,2.4917929
2013-01-17,2013,1,17,-0.42623511,2.1766708,7,2.2180109
2013-01-18,2013,1,18,-0.1800849,1.9539371,7,1.9622183
2013-01-19,2013,1,19,-0.18638454,1.9527383,7,1.9616132
2013-01-20,2013,1,20,-0.3314662,2.1901708,7,2.2151113
2013-01-21,2013,1,21,-0.40736577,2.0336287,7,2.0740283
2013-01-22,2013,1,22,-0.34317636,2.1390767,7,2.1664302
2013-01-23,2013,1,23,-0.44432011,2.1587944,7,2.2040448
2013-01-24,2013,1,24,-0.50993681,2.1429522,7,2.2027891
2013-01-25,2013,1,25,-0.1874819,1.9609332,7,1.9698752
2013-01-26,2013,1,26,-0.14065275,1.8738999,7,1.8791711
2013-01-27,2013,1,27,-0.31928974,1.816646,7,1.8444914
2013-01-28,2013,1,28,-0.59928203,1.5874214,7,1.6967751
2013-01-29,2013,1,29,-0.567653,1.3540634,7,1.4682362
2013-01-30,2013,1,30,-1.0479331,1.2238095,7,1.6111714
2013-01-31,2013,1,31,-1.697674,1.1959667,8,2.0766399
2013-02-01,2013,2,1,-2.0558026,0.81653374,8,2.2120242
2013-02-02,2013,2,2,-2.0804946,0.1325094,8,2.0847101
2013-02-03,2013,2,3,-2.0007098,-0.2326961,1,2.0141964
2013-02-04,2013,2,4,-1.6736752,-0.22606196,1,1.6888732
2013-02-05,2013,2,5,-1.3363037,-0.25180301,1,1.3598207
2013-02-06,2013,2,6,-0.89610922,-0.15369093,1,0.9091934
2013-02-07,2013,2,7,-1.1735632,-0.27547732,1,1.205462
2013-02-08,2013,2,8,-1.4556588,-0.32378182,1,1.4912333
2013-02-09,2013,2,9,-1.6613132,-0.34202424,1,1.6961551
2013-02-10,2013,2,10,-1.6560862,-0.68854254,1,1.7935195
2013-02-11,2013,2,11,-1.2998255,-0.90564775,1,1.5842173
2013-02-12,2013,2,12,-0.85751981,-1.0788678,2,1.3781495
2013-02-13,2013,2,13,-0.47414732,-1.628341,2,1.6959687
2013-02-14,2013,2,14,-0.0623907112,-1.9114544,2,1.9124725
2013-02-15,2013,2,15,0.60487002,-1.6097608,3,1.7196505
2013-02-16,2013,2,16,1.1003947,-1.1967624,3,1.6257641
2013-02-17,2013,2,17,1.2796066,-0.97081727,4,1.6062002
2013-02-18,2013,2,18,1.5403168,-1.0099102,4,1.8418726
2013-02-19,2013,2,19,1.5289451,-0.75206751,4,1.7039011
2013-02-20,2013,2,20,1.6118391,-0.42668244,4,1.667358
2013-02-21,2013,2,21,1.6458561,-0.35096663,4,1.6828607
2013-02-22,2013,2,22,1.5680248,-0.098248288,4,1.5710996
2013-02-23,2013,2,23,1.1150066,0.21563742,5,1.1356668
2013-02-24,2013,2,24,0.72116703,0.61141318,5,0.94546705
2013-02-25,2013,2,25,0.73316324,1.1682315,6,1.3792365
2013-02-26,2013,2,26,0.80775428,1.5783412,6,1.7730279
2013-02-27,2013,2,27,0.88550591,1.6971651,6,1.9142858
2013-02-28,2013,2,28,0.58593184,1.8024554,6,1.8952999
2013-03-01,2013,3,1,0.56721973,1.9173263,6,1.9994695
2013-03-02,2013,3,2,0.44818816,1.9033855,6,1.9554409
2013-03-03,2013,3,3,0.65533513,1.7844231,6,1.9009551
2013-03-04,2013,3,4,0.48729786,1.6500518,6,1.7205029
2013-03-05,2013,3,5,-0.12501654,1.6839701,7,1.6886042
2013-03-06,2013,3,6,-0.54533297,1.6808645,7,1.7671144
2013-03-07,2013,3,7,-0.42601457,1.6032671,7,1.6589015
2013-03-08,2013,3,8,-0.0812663883,1.2660762,7,1.2686816
2013-03-09,2013,3,9,0.45451674,1.2687557,6,1.3477116
