,year,month,day,RMM1,RMM2,phase,amplitude
2006-01-01,2006,1,1,-1.3941377,0.60635573,8,1.5202919
2006-01-02,2006,1,2,-1.2251377,0.0987533927,8,1.2291113
2006-01-03,2006,1,3,-1.1602852,-0.34871563,1,1.2115545
2006-01-04,2006,1,4,-1.1216723,-0.33287761,1,1.170024
2006-01-05,2006,1,5,-0.82177228,-0.36875823,1,0.90071768
2006-01-06,2006,1,6,-0.4582144,-0.56696105,2,0.72897547
2006-01-07,2006,1,7,-0.0619162992,-0.64796275,2,0.65091425
2006-01-08,2006,1,8,0.00707175257,-0.81392986,3,0.81396055
2006-01-09,2006,1,9,-0.11350799,-0.77264494,2,0.78093809
2006-01-10,2006,1,10,-0.1801737,-0.95717216,2,0.97398204
2006-01-11,2006,1,11,0.0500251912,-1.0120555,3,1.0132911
2006-01-12,2006,1,12,0.43360889,-1.1335533,3,1.2136555
2006-01-13,2006,1,13,0.67015737,-1.1303868,3,1.31411
2006-01-14,2006,1,14,0.7037223,-1.0231923,3,1.2418324
2006-01-15,2006,1,15,0.93689096,-0.9344998,4,1.3232741
2006-01-16,2006,1,16,1.2174889,-0.79948729,4,1.4565229
2006-01-17,2006,1,17,1.4016639,-0.33778703,4,1.4417912
2006-01-18,2006,1,18,1.7965484,0.27536985,5,1.8175298
2006-01-19,2006,1,19,2.1497645,0.84436792,5,2.3096418
2006-01-20,2006,1,20,2.1207659,1.1927813,5,2.4331822
2006-01-21,2006,1,21,2.2040317,1.4422688,5,2.6339884
2006-01-22,2006,1,22,2.1200426,1.6184326,5,2.6671903
2006-01-23,2006,1,23,1.8685627,1.6962572,5,2.5236511
2006-01-24,2006,1,24,1.4454755,1.8174186,6,2.3221562
2006-01-25,2006,1,25,0.89913523,2.0818574,6,2.2677245
2006-01-26,2006,1,26,0.41639248,2.3165605,6,2.3536856
2006-01-27,2006,1,27,0.4804498,2.5357685,6,2.5808823
2006-01-28,2006,1,28,0.51066834,2.609303,6,2.6588051
2006-01-29,2006,1,29,0.23211887,2.5123191,6,2.5230193
2006-01-30,2006,1,30,-0.18335845,2.3080714,7,2.3153431
2006-01-31,2006,1,31,-0.57972103,2.2485793,7,2.3221078
2006-02-01,2006,2,1,-0.79419613,1.9865232,7,2.1393974
2006-02-02,2006,2,2,-1.2128814,2.007369,7,2.3453383
2006-02-03,2006,2,3,-1.5955216,1.6971762,7,2.3293982
2006-02-04,2006,2,4,-1.8101765,1.6561831,8,2.4535038
2006-02-05,2006,2,5,-1.7949221,1.5905559,8,2.3982522
2006-02-06,2006,2,6,-1.6142589,1.6133587,8,2.2822704
2006-02-07,2006,2,7,-1.6551538,1.3829302,8,2.1568565
2006-02-08,2006,2,8,-1.7379636,1.0716076,8,2.0417788
2006-02-09,2006,2,9,-1.6280231,1.0088569,8,1.9152679
2006-02-10,2006,2,10,-1.2019598,0.68158126,8,1.3817599
2006-02-11,2006,2,11,-1.1482245,0.57877868,8,1.2858477
2006-02-12,2006,2,12,-1.1312141,0.69330472,8,1.3267694
2006-02-13,2006,2,13,-1.1544241,0.20943439,8,1.173268
2006-02-14,2006,2,14,-1.2956964,-0.00825991854,1,1.2957227
2006-02-15,2006,2,15,-1.2509316,-0.0280270763,1,1.2512455
2006-02-16,2006,2,16,-1.0903364,0.15383217,8,1.1011349
2006-02-17,2006,2,17,-0.98065925,0.16753466,8,0.99486703
2006-02-18,2006,2,18,-1.2071748,0.0961498618,8,1.2109978
2006-02-19,2006,2,19,-0.98441732,-0.49803102,1,1.1032281
2006-02-20,2006,2,20,-0.68501043,-0.9397459,2,1.1629108
