,year,month,day,RMM1,RMM2,phase,amplitude
2018-01-01,2018,1,1,-0.85338891,-1.4185548,2,1.6554668
2018-01-02,2018,1,2,-0.69506353,-1.2490103,2,1.4293846
2018-01-03,2018,1,3,-0.79800135,-1.3090442,2,1.5331024
2018-01-04,2018,1,4,-0.84939688,-1.2682188,2,1.5263859
2018-01-05,2018,1,5,-0.97746259,-1.4095411,2,1.7152957
2018-01-06,2018,1,6,-1.0618811,-1.7986339,2,2.088702
2018-01-07,2018,1,7,-0.97123933,-1.9164059,2,2.1484687
2018-01-08,2018,1,8,-0.79663312,-1.9128696,2,2.0721233
2018-01-09,2018,1,9,-0.49469513,-1.8087268,2,1.8751576
2018-01-10,2018,1,10,-0.18120545,-1.5060781,2,1.5169399
2018-01-11,2018,1,11,-0.11275958,-1.5032192,2,1.5074425
2018-01-12,2018,1,12,-0.17230617,-1.6135088,2,1.6226829
2018-01-13,2018,1,13,-0.0481854528,-1.4699173,2,1.4707068
2018-01-14,2018,1,14,0.31897834,-1.5681704,3,1.600283
2018-01-15,2018,1,15,0.59455794,-1.4275908,3,1.5464523
2018-01-16,2018,1,16,1.2208138,-1.3225354,3,1.7998573
2018-01-17,2018,1,17,1.5254993,-1.0799476,4,1.8690733
2018-01-18,2018,1,18,1.609707,-1.1175016,4,1.9595833
2018-01-19,2018,1,19,1.6087127,-0.75891602,4,1.7787383
2018-01-20,2018,1,20,1.6044987,-0.57556421,4,1.7046086
2018-01-21,2018,1,21,1.4857914,-0.26627392,4,1.5094628
2018-01-22,2018,1,22,1.3494618,0.0849457756,5,1.3521327
2018-01-23,2018,1,23,1.3189161,0.61271846,5,1.4542915
2018-01-24,2018,1,24,1.4593287,1.047448,5,1.7963262
2018-01-25,2018,1,25,1.663257,1.4848247,5,2.2296028
2018-01-26,2018,1,26,1.8544683,1.7331537,5,2.5382819
2018-01-27,2018,1,27,2.0970759,2.145581,6,3.0002077
2018-01-28,2018,1,28,2.1411116,2.6430235,6,3.4014604
2018-01-29,2018,1,29,1.6669937,3.3594997,6,3.7503474
2018-01-30,2018,1,30,0.97650069,3.7955182,6,3.9191213
2018-01-31,2018,1,31,0.35456255,3.911108,6,3.9271467
2018-02-01,2018,2,1,-0.0952314138,3.8600409,7,3.8612156
2018-02-02,2018,2,2,-0.62525171,3.4891152,7,3.5446954
2018-02-03,2018,2,3,-1.2060252,3.4041135,7,3.6114383
2018-02-04,2018,2,4,-1.487636,3.4641528,7,3.7700684
2018-02-05,2018,2,5,-1.5956784,3.4557481,7,3.806361
2018-02-06,2018,2,6,-1.8558056,3.4730814,7,3.9378049
2018-02-07,2018,2,7,-1.9314787,3.3880823,7,3.8999629
2018-02-08,2018,2,8,-1.8690305,3.2604561,7,3.7581708
2018-02-09,2018,2,9,-1.6806911,2.9402294,7,3.3866904
2018-02-10,2018,2,10,-1.7325817,2.5005171,7,3.0421085
2018-02-11,2018,2,11,-1.8149956,2.3914392,7,3.0021975
2018-02-12,2018,2,12,-1.5564874,2.3552103,7,2.8230603
2018-02-13,2018,2,13,-1.2014,2.0792732,7,2.4014037
2018-02-14,2018,2,14,-1.1289619,2.0641162,7,2.3526857
2018-02-15,2018,2,15,-1.057287,2.0681479,7,2.3227336
2018-02-16,2018,2,16,-1.0949878,2.107161,7,2.3746843
2018-02-17,2018,2,17,-0.895248,1.8381647,7,2.0445826
2018-02-18,2018,2,18,-0.97864425,1.3660585,7,1.6804345
2018-02-19,2018,2,19,-1.5072615,0.85802162,8,1.7343698
2018-02-20,2018,2,20,-1.5332254,0.39992905,8,1.5845263
2018-02-21,2018,2,21,-1.537819,-0.0407722443,1,1.5383595
2018-02-22,2018,2,22,-1.5301682,-0.60825437,1,1.6466293
2018-02-23,2018,2,23,-1.6482103,-1.2280419,1,2.0554035
2018-02-24,2018,2,24,-1.6861005,-1.4924089,1,2.2517147
2018-02-25,2018,2,25,-1.4829456,-1.5784059,2,2.1657546
2018-02-26,2018,2,26,-1.139316,-1.6521409,2,2.0068908
2018-02-27,2018,2,27,-0.83719879,-1.651439,2,1.851527
2018-02-28,2018,2,28,-0.31778449,-1.3640933,2,1.4006205
2018-03-01,2018,3,1,-0.13488333,-1.2454747,2,1.2527572
2018-03-02,2018,3,2,-0.0374363847,-1.0485493,2,1.0492173
2018-03-03,2018,3,3,0.11850256,-1.2181108,3,1.2238615
2018-03-04,2018,3,4,0.25321659,-1.0658141,3,1.0954809
2018-03-05,2018,3,5,0.45736623,-1.1724997,3,1.2585465
2018-03-06,2018,3,6,0.77339906,-1.3242239,3,1.5335302
2018-03-07,2018,3,7,1.0695335,-1.4870018,3,1.8316866
2018-03-08,2018,3,8,1.1968716,-1.3445947,3,1.8001213
2018-03-09,2018,3,9,1.0538886,-1.3765197,3,1.7336341
2018-03-10,2018,3,10,0.61320823,-1.146479,3,1.3001686
2018-03-11,2018,3,11,0.16939703,-1.0508708,3,1.0644363
2018-03-12,2018,3,12,0.18058974,-0.98914391,3,1.005494
2018-03-13,2018,3,13,0.38159016,-0.80449343,3,0.89040482
2018-03-14,2018,3,14,0.55547112,-0.58336514,3,0.80552036
2018-03-15,2018,3,15,0.71058559,-0.44690141,4,0.83943594
2018-03-16,2018,3,16,0.58449227,-0.35026941,4,0.68141019
2018-03-17,2018,3,17,0.16584942,-0.56664389,3,0.59041625
2018-03-18,2018,3,18,0.0790645257,-0.54727548,3,0.55295718
2018-03-19,2018,3,19,0.2952686,-0.0987725034,4,0.31135118
2018-03-20,2018,3,20,0.49289504,0.13960254,5,0.5122835
2018-03-21,2018,3,21,0.73667729,0.19132186,5,0.76111597
2018-03-22,2018,3,22,0.84430724,-0.22522742,4,0.87383187
2018-03-23,2018,3,23,0.9025318,-0.29565313,4,0.94972336
2018-03-24,2018,3,24,0.63296956,0.0422289893,5,0.63437665
2018-03-25,2018,3,25,0.53119606,0.63383752,6,0.82699412
2018-03-26,2018,3,26,0.2690739,1.0716997,6,1.1049621
2018-03-27,2018,3,27,0.21150228,1.3430761,6,1.3596274
2018-03-28,2018,3,28,0.0530809723,1.4965265,6,1.4974676
2018-03-29,2018,3,29,-0.28359988,1.6568125,7,1.6809095
2018-03-30,2018,3,30,-0.61297548,1.4132059,7,1.5404187
2018-03-31,2018,3,31,-0.77728647,1.3690857,7,1.5743475
2018-04-01,2018,4,1,-0.78692985,1.6587311,7,1.8359323
2018-04-02,2018,4,2,-1.0259572,1.7451742,7,2.0244062
2018-04-03,2018,4,3,-1.602743,1.7783365,7,2.3940063
2018-04-04,2018,4,4,-2.101716,1.4144129,8,2.5333326
2018-04-05,2018,4,5,-2.1681936,0.91725796,8,2.3542356
2018-04-06,2018,4,6,-2.1837397,0.28483406,8,2.2022374
2018-04-07,2018,4,7,-2.4073026,-0.0901616961,1,2.4089904
2018-04-08,2018,4,8,-2.5190668,-0.28299394,1,2.5349128
2018-04-09,2018,4,9,-2.3456149,-0.2964952,1,2.3642797
2018-04-10,2018,4,10,-1.9107643,-0.52938735,1,1.9827434
2018-04-11,2018,4,11,-1.3571783,-1.0638369,1,1.7244366
2018-04-12,2018,4,12,-0.96498019,-1.529653,2,1.8085976
2018-04-13,2018,4,13,-0.4647778,-1.9205894,2,1.9760269
2018-04-14,2018,4,14,-0.17382239,-2.1474638,2,2.1544871
2018-04-15,2018,4,15,0.17512605,-2.0133455,3,2.0209477
2018-04-16,2018,4,16,0.35964313,-1.945317,3,1.9782825
2018-04-17,2018,4,17,0.41936994,-1.6905986,3,1.7418365
2018-04-18,2018,4,18,0.78390622,-1.2673368,3,1.4901851
2018-04-19,2018,4,19,0.66424882,-1.0037237,3,1.2036145
2018-04-20,2018,4,20,0.74601996,-0.79616684,3,1.0910671
2018-04-21,2018,4,21,0.64836305,-0.54584467,4,0.84753823
2018-04-22,2018,4,22,0.57253832,-0.41498867,4,0.70711792
2018-04-23,2018,4,23,0.65017545,-0.19497275,4,0.67878014
2018-04-24,2018,4,24,0.7451843,-0.13617679,4,0.75752479
2018-04-25,2018,4,25,0.8164537,0.11140896,5,0.82401979
2018-04-26,2018,4,26,0.70471114,0.0270789079,5,0.70523119
2018-04-27,2018,4,27,0.38523641,0.10122661,5,0.39831385
2018-04-28,2018,4,28,0.25442964,-0.0787052959,4,0.26632494
2018-04-29,2018,4,29,0.14338063,0.0865346715,5,0.16747016
2018-04-30,2018,4,30,0.0632185414,0.2039213,6,0.21349587
2018-05-01,2018,5,1,-0.0793911591,0.3962194,7,0.40409499
2018-05-02,2018,5,2,-0.0291494727,0.39321879,7,0.39429775
2018-05-03,2018,5,3,0.0234258827,0.51528072,6,0.51581293
2018-05-04,2018,5,4,-0.14158496,0.44677117,7,0.46866915
2018-05-05,2018,5,5,-0.84813553,0.2845484,8,0.8945958
2018-05-06,2018,5,6,-1.294113,0.19979617,8,1.3094454
2018-05-07,2018,5,7,-1.2051712,-0.0212365892,1,1.2053583
2018-05-08,2018,5,8,-1.2673423,-0.25790212,1,1.2933174
2018-05-09,2018,5,9,-1.5802815,-0.54976475,1,1.6731799
2018-05-10,2018,5,10,-1.6781503,-0.61000752,1,1.7855804
2018-05-11,2018,5,11,-1.6627246,-0.82534724,1,1.8563005
2018-05-12,2018,5,12,-1.7081009,-1.0362365,1,1.9978476
2018-05-13,2018,5,13,-1.9185532,-1.2062664,1,2.266258
2018-05-14,2018,5,14,-1.8033686,-1.2478046,1,2.1929784
2018-05-15,2018,5,15,-1.4639795,-1.268876,1,1.9373389
2018-05-16,2018,5,16,-1.2429118,-1.3041219,2,1.8015448
2018-05-17,2018,5,17,-1.0848076,-1.5011963,2,1.8521334
2018-05-18,2018,5,18,-0.87599981,-1.6970056,2,1.9097654
2018-05-19,2018,5,19,-0.84685218,-1.8282285,2,2.0148394
2018-05-20,2018,5,20,-0.8909176,-1.8429914,2,2.0470347
2018-05-21,2018,5,21,-0.92979157,-1.7149378,2,1.9507753
2018-05-22,2018,5,22,-0.8102687,-1.725734,2,1.9064871
2018-05-23,2018,5,23,-0.66812152,-1.8140265,2,1.9331524
2018-05-24,2018,5,24,-0.48710629,-1.7065121,2,1.7746707
2018-05-25,2018,5,25,-0.2862958,-1.8180712,2,1.840475
2018-05-26,2018,5,26,-0.15921599,-2.0083468,2,2.014648
2018-05-27,2018,5,27,0.0413517468,-1.8509233,3,1.8513852
2018-05-28,2018,5,28,0.59732974,-1.6912434,3,1.7936296
2018-05-29,2018,5,29,1.1384928,-1.5803387,3,1.9477259
2018-05-30,2018,5,30,1.4059737,-1.0665656,4,1.7647448
2018-05-31,2018,5,31,1.610348,-0.4145501,4,1.6628507
2018-06-01,2018,6,1,1.611756,-0.0385914631,4,1.6122179
2018-06-02,2018,6,2,1.5465894,0.3325015,5,1.5819279
2018-06-03,2018,6,3,1.7048932,0.6842075,5,1.8370631
2018-06-04,2018,6,4,1.6113877,0.74732053,5,1.7762485
2018-06-05,2018,6,5,1.2264179,0.94068271,5,1.5456342
2018-06-06,2018,6,6,0.81692231,1.0000802,6,1.2913258
2018-06-07,2018,6,7,0.75669557,0.9361546,6,1.2037332
2018-06-08,2018,6,8,0.54097509,0.73578358,6,0.91325325
2018-06-09,2018,6,9,0.22468242,0.30625495,6,0.37983456
2018-06-10,2018,6,10,0.16806233,0.28584841,6,0.33159351
2018-06-11,2018,6,11,0.33427736,0.25301158,5,0.41923288
2018-06-12,2018,6,12,0.42823017,0.0617915243,5,0.43266532
2018-06-13,2018,6,13,0.3189083,0.0951516852,5,0.33280075
2018-06-14,2018,6,14,0.20052111,0.13677782,5,0.24272801
2018-06-15,2018,6,15,0.0211736299,-0.33267733,3,0.33335048
2018-06-16,2018,6,16,-0.42966673,-0.45820838,2,0.62814683
2018-06-17,2018,6,17,-0.9934538,-0.38845742,1,1.0667003
2018-06-18,2018,6,18,-1.2998078,-0.36509281,1,1.3501085
2018-06-19,2018,6,19,-1.2629626,-0.37412518,1,1.3172108
2018-06-20,2018,6,20,-1.1611197,-0.4711124,1,1.2530546
2018-06-21,2018,6,21,-0.88201809,-0.57298243,1,1.0517912
2018-06-22,2018,6,22,-0.69635105,-0.77631247,2,1.0428643
2018-06-23,2018,6,23,-0.64792579,-0.83955866,2,1.060503
2018-06-24,2018,6,24,-0.63763207,-0.99549413,2,1.1821942
2018-06-25,2018,6,25,-0.66925299,-1.1569251,2,1.3365535
2018-06-26,2018,6,26,-0.80132073,-1.2366138,2,1.4735428
2018-06-27,2018,6,27,-0.95679969,-1.2312818,2,1.5593333
2018-06-28,2018,6,28,-1.0772319,-1.1563665,2,1.5803835
2018-06-29,2018,6,29,-0.92438358,-1.1182963,2,1.4508865
2018-06-30,2018,6,30,-0.46136805,-0.92217904,2,1.0311521
2018-07-01,2018,7,1,-0.15885569,-0.72581875,2,0.74299932
2018-07-02,2018,7,2,-0.064518407,-0.55767828,2,0.56139797
2018-07-03,2018,7,3,-0.0283457451,-0.35290182,2,0.35403839
2018-07-04,2018,7,4,0.084880881,-0.13109612,3,0.15617605
2018-07-05,2018,7,5,0.28117311,0.27115205,5,0.39061713
2018-07-06,2018,7,6,0.44560716,0.31791517,5,0.54738998
2018-07-07,2018,7,7,0.79159439,0.11988006,5,0.80062032
2018-07-08,2018,7,8,1.188566,-0.17456323,4,1.2013165
2018-07-09,2018,7,9,1.3781277,-0.31443205,4,1.4135429
2018-07-10,2018,7,10,1.4860703,-0.34286097,4,1.5251093
2018-07-11,2018,7,11,1.6069028,-0.0681643933,4,1.6083479
2018-07-12,2018,7,12,1.6882029,0.18844074,5,1.6986874
2018-07-13,2018,7,13,1.7744647,0.5375039,5,1.8540862
2018-07-14,2018,7,14,2.0073283,0.91651875,5,2.2066658
2018-07-15,2018,7,15,2.1265609,1.3113905,5,2.4984007
2018-07-16,2018,7,16,2.0427115,1.5640895,5,2.5727508
2018-07-17,2018,7,17,2.1525941,1.6292943,5,2.6996779
2018-07-18,2018,7,18,2.1372774,1.6239706,5,2.684257
2018-07-19,2018,7,19,1.784903,1.6643322,5,2.4404671
2018-07-20,2018,7,20,1.2637923,1.8051759,6,2.2035952
2018-07-21,2018,7,21,0.74745959,1.6854403,6,1.8437475
