,year,month,day,RMM1,RMM2,phase,amplitude
2012-03-21,2012,3,21,0.37423825,3.1784439,6,3.2004001
2012-03-22,2012,3,22,-0.18726754,3.1052361,7,3.1108778
2012-03-23,2012,3,23,-0.48656243,3.0966954,7,3.1346874
2012-03-24,2012,3,24,-0.54456729,2.6298437,7,2.6856344
2012-03-25,2012,3,25,-0.28881699,2.0996885,7,2.1194592
2012-03-26,2012,3,26,-0.0595428683,1.670521,7,1.6715819
2012-03-27,2012,3,27,0.14015086,1.546669,6,1.5530059
2012-03-28,2012,3,28,0.1420258,1.5082711,6,1.5149432
2012-03-29,2012,3,29,0.12852727,1.5380459,6,1.5434067
2012-03-30,2012,3,30,0.0388487168,1.2334398,6,1.2340515
2012-03-31,2012,3,31,-0.20303436,1.2808717,7,1.2968637
2012-04-01,2012,4,1,-0.3827903,1.3733881,7,1.4257361
2012-04-02,2012,4,2,-0.6870349,1.4503862,7,1.6048791
2012-04-03,2012,4,3,-0.97305477,1.6532276,7,1.9183319
2012-04-04,2012,4,4,-1.3244327,1.846517,7,2.272388
2012-04-05,2012,4,5,-1.7177222,1.7261761,7,2.4352112
2012-04-06,2012,4,6,-2.1671669,1.6686285,8,2.7351294
2012-04-07,2012,4,7,-2.2834902,1.3101135,8,2.632627
2012-04-08,2012,4,8,-2.2194579,0.94872987,8,2.4137278
2012-04-09,2012,4,9,-2.0101023,0.69047314,8,2.1253858
2012-04-10,2012,4,10,-1.8106844,0.28997058,8,1.833756
2012-04-11,2012,4,11,-1.5871695,-0.0900283679,1,1.5897207
2012-04-12,2012,4,12,-1.2791454,-0.65115893,1,1.4353468
2012-04-13,2012,4,13,-0.98158252,-0.81976879,1,1.2788765
2012-04-14,2012,4,14,-0.79431343,-0.81971461,2,1.1414315
2012-04-15,2012,4,15,-0.49193516,-0.81029522,2,0.94793385
2012-04-16,2012,4,16,-0.0631862357,-1.012239,2,1.0142093
2012-04-17,2012,4,17,0.0350497253,-1.1319815,3,1.132524
2012-04-18,2012,4,18,0.36381137,-1.4031473,3,1.4495451
2012-04-19,2012,4,19,0.62984347,-1.4430259,3,1.5744925
2012-04-20,2012,4,20,0.59415096,-1.2117369,3,1.3495635
2012-04-21,2012,4,21,0.64750439,-0.83836687,3,1.0593021
2012-04-22,2012,4,22,0.82068455,-0.47091728,4,0.94619566
2012-04-23,2012,4,23,1.10351,-0.23873664,4,1.1290392
2012-04-24,2012,4,24,1.009689,-0.1320329,4,1.018285
2012-04-25,2012,4,25,0.90585488,-0.11092245,4,0.9126209
2012-04-26,2012,4,26,0.61275613,-0.0591325723,4,0.61560273
2012-04-27,2012,4,27,0.52831668,0.00180306379,5,0.52831978
2012-04-28,2012,4,28,0.0896640718,-0.0292104539,4,0.0943021551
2012-04-29,2012,4,29,-0.2429871,0.0499549545,8,0.248069
2012-04-30,2012,4,30,-0.30929828,0.033321552,8,0.311088
2012-05-01,2012,5,1,-0.24426456,0.0545641221,8,0.25028467
2012-05-02,2012,5,2,-0.3947095,0.22115158,8,0.45244181
2012-05-03,2012,5,3,-0.35907304,0.18027417,8,0.4017863
2012-05-04,2012,5,4,-0.37348533,0.0883553848,8,0.38379416
2012-05-05,2012,5,5,-0.21979293,-0.18181711,1,0.28524795
2012-05-06,2012,5,6,0.0647988766,0.0365659483,5,0.0744040534
2012-05-07,2012,5,7,0.37986395,0.25156319,5,0.45561022
2012-05-08,2012,5,8,0.25051445,0.61178976,6,0.66109318
2012-05-09,2012,5,9,-0.0986883417,0.7480644,7,0.75454605
2012-05-10,2012,5,10,0.0041434709,0.78905976,6,0.78907061
2012-05-11,2012,5,11,0.18723164,0.64237213,6,0.66910213
2012-05-12,2012,5,12,0.18408491,0.71112245,6,0.73456275
2012-05-13,2012,5,13,0.0345721096,0.47450429,6,0.4757621
2012-05-14,2012,5,14,-0.12095077,0.7456575,7,0.75540334
2012-05-15,2012,5,15,-0.15813972,0.80112576,7,0.81658477
2012-05-16,2012,5,16,-0.10395612,0.73542833,7,0.74273932
2012-05-17,2012,5,17,-0.38690609,0.72353566,7,0.82048774
2012-05-18,2012,5,18,-0.82211268,0.49836665,8,0.96137333
2012-05-19,2012,5,19,-0.98444223,0.30847776,8,1.031642
2012-05-20,2012,5,20,-0.65818119,0.1773639,8,0.68166006
