,year,month,day,RMM1,RMM2,phase,amplitude
1993-01-01,1993,1,1,-1.18883,2.0403299,7,2.3614099
1993-01-02,1993,1,2,-1.51617,1.92994,7,2.4542699
1993-01-03,1993,1,3,-1.89814,1.74295,8,2.5769701
1993-01-04,1993,1,4,-2.3576901,1.31604,8,2.70012
1993-01-05,1993,1,5,-2.7885399,0.72427303,8,2.8810699
1993-01-06,1993,1,6,-2.9607799,0.0194450002,8,2.96084
1993-01-07,1993,1,7,-2.57812,-0.52428001,1,2.6308899
1993-01-08,1993,1,8,-2.2498701,-0.91852999,1,2.43015
1993-01-09,1993,1,9,-1.90276,-1.08599,1,2.19086
1993-01-10,1993,1,10,-1.79661,-1.3178,1,2.22809
1993-01-11,1993,1,11,-1.66082,-1.71778,2,2.38938
1993-01-12,1993,1,12,-1.66206,-2.41097,2,2.92835
1993-01-13,1993,1,13,-1.3141,-2.8984399,2,3.18242
1993-01-14,1993,1,14,-0.75149,-3.1276801,2,3.2167001
1993-01-15,1993,1,15,-0.26829001,-3.19419,2,3.20543
1993-01-16,1993,1,16,0.153089,-2.9944999,3,2.99841
1993-01-17,1993,1,17,0.329144,-2.93382,3,2.95222
1993-01-18,1993,1,18,0.75871098,-2.8641801,3,2.96297
1993-01-19,1993,1,19,1.3158,-2.61941,3,2.93132
1993-01-20,1993,1,20,1.65952,-2.5019901,3,3.0023301
1993-01-21,1993,1,21,1.89886,-2.07989,3,2.8163099
1993-01-22,1993,1,22,2.1317699,-1.09842,4,2.3981099
1993-01-23,1993,1,23,2.0619099,-0.50726998,4,2.12339
1993-01-24,1993,1,24,1.84123,0.187929,5,1.8508
1993-01-25,1993,1,25,1.42496,0.909751,5,1.6906101
1993-01-26,1993,1,26,1.2578501,1.48988,6,1.94985
1993-01-27,1993,1,27,0.94488698,1.91327,6,2.1338699
1993-01-28,1993,1,28,0.65251303,2.0409701,6,2.14273
1993-01-29,1993,1,29,0.36058599,2.1997099,6,2.2290699
1993-01-30,1993,1,30,-0.0338978991,2.154,7,2.1542699
1993-01-31,1993,1,31,-0.26082999,2.22454,7,2.2397799
1993-02-01,1993,2,1,-0.54266,2.3013599,7,2.36447
1993-02-02,1993,2,2,-0.66777998,2.1443901,7,2.24596
1993-02-03,1993,2,3,-0.99952,1.96154,7,2.20152
1993-02-04,1993,2,4,-1.19203,1.97796,7,2.3093801
1993-02-05,1993,2,5,-1.1194,2.1318901,7,2.4079101
1993-02-06,1993,2,6,-1.11484,2.17436,7,2.4435
1993-02-07,1993,2,7,-1.12675,1.9811,7,2.27911
1993-02-08,1993,2,8,-1.1704201,1.57136,7,1.95935
1993-02-09,1993,2,9,-1.0595,1.32679,7,1.69791
1993-02-10,1993,2,10,-0.99954998,1.01209,7,1.42247
1993-02-11,1993,2,11,-0.83525997,0.611516,8,1.03519
1993-02-12,1993,2,12,-0.59069002,0.333994,8,0.67857498
1993-02-13,1993,2,13,-0.24492,0.51157701,7,0.56718302
1993-02-14,1993,2,14,-0.14128999,0.65858299,7,0.67356902
1993-02-15,1993,2,15,0.159344,0.39263999,6,0.42374101
1993-02-16,1993,2,16,0.32493201,-0.0461688004,4,0.32819501
1993-02-17,1993,2,17,0.0760584995,-0.11342,3,0.136563
1993-02-18,1993,2,18,0.0913733989,0.0713071004,5,0.115904
1993-02-19,1993,2,19,0.49810901,0.35040501,5,0.60901201
1993-02-20,1993,2,20,0.97931999,0.268179,5,1.01538
1993-02-21,1993,2,21,1.07796,0.13002799,5,1.08578
1993-02-22,1993,2,22,1.13694,0.0926327035,5,1.14071
1993-02-23,1993,2,23,1.01363,-0.14441,4,1.02386
1993-02-24,1993,2,24,0.94364399,-0.30461001,4,0.99159098
1993-02-25,1993,2,25,0.80374402,-0.27652001,4,0.84998
1993-02-26,1993,2,26,0.827672,-0.28644001,4,0.87583601
1993-02-27,1993,2,27,0.761765,-0.48300001,4,0.901981
1993-02-28,1993,2,28,0.495289,-0.67129999,3,0.83424002
1993-03-01,1993,3,1,0.37189201,-0.73515999,3,0.82387203
1993-03-02,1993,3,2,0.34539101,-1.01113,3,1.0685
1993-03-03,1993,3,3,0.172024,-0.91171002,3,0.92779499
1993-03-04,1993,3,4,0.34368101,-1.03527,3,1.09082
1993-03-05,1993,3,5,0.455358,-1.33777,3,1.41315
1993-03-06,1993,3,6,0.44725201,-1.35004,3,1.4222
1993-03-07,1993,3,7,0.62192798,-1.5368299,3,1.6579
