,year,month,day,RMM1,RMM2,phase,amplitude
2011-01-01,2011,1,1,0.20515928,0.68201584,6,0.71220499
2011-01-02,2011,1,2,0.10584219,0.90876138,6,0.9149043
2011-01-03,2011,1,3,-0.0027387049,0.88133746,7,0.88134176
2011-01-04,2011,1,4,-0.11275195,0.62527806,7,0.63536263
2011-01-05,2011,1,5,-0.30070928,0.44425482,7,0.53645915
2011-01-06,2011,1,6,-0.11241613,0.50181448,7,0.51425201
2011-01-07,2011,1,7,0.0832218528,0.76320052,6,0.76772451
2011-01-08,2011,1,8,0.38707986,0.96660161,6,1.041225
2011-01-09,2011,1,9,0.74541575,0.94118416,6,1.2006133
2011-01-10,2011,1,10,1.1091499,1.008111,5,1.4988334
2011-01-11,2011,1,11,1.3663666,1.4579532,6,1.9981455
2011-01-12,2011,1,12,1.458709,1.9101897,6,2.4034677
2011-01-13,2011,1,13,1.3441931,1.9688033,6,2.383913
2011-01-14,2011,1,14,1.2365237,2.0406249,6,2.3860304
2011-01-15,2011,1,15,0.8609845,2.1014152,6,2.2709558
2011-01-16,2011,1,16,0.53475028,2.0095186,6,2.0794525
2011-01-17,2011,1,17,0.1592121,1.9944928,6,2.0008373
2011-01-18,2011,1,18,-0.62941533,2.2910404,7,2.3759272
2011-01-19,2011,1,19,-0.91129446,2.3757992,7,2.5445783
2011-01-20,2011,1,20,-1.0082848,2.2059314,7,2.4254427
2011-01-21,2011,1,21,-1.2913241,2.248101,7,2.592581
2011-01-22,2011,1,22,-1.4004554,2.1187625,7,2.5397696
2011-01-23,2011,1,23,-1.5181643,1.9710548,7,2.4879467
2011-01-24,2011,1,24,-1.6222826,1.4354326,8,2.1661642
2011-01-25,2011,1,25,-1.7135948,1.1351119,8,2.0554528
2011-01-26,2011,1,26,-1.7309617,0.43947271,8,1.7858793
2011-01-27,2011,1,27,-1.5612069,0.21484204,8,1.5759201
2011-01-28,2011,1,28,-0.97555476,-0.22681957,1,1.0015759
2011-01-29,2011,1,29,-0.86236262,-0.28403771,1,0.90793538
2011-01-30,2011,1,30,-0.65412241,-0.41175115,1,0.77292633
2011-01-31,2011,1,31,-0.52019453,-0.54915178,2,0.75641918
2011-02-01,2011,2,1,-0.1005844,-0.26070303,2,0.27943388
2011-02-02,2011,2,2,-0.00610853452,0.0555539802,7,0.0558888093
2011-02-03,2011,2,3,0.0528837033,0.32009673,6,0.32443583
2011-02-04,2011,2,4,0.14396586,0.53564036,6,0.55465013
2011-02-05,2011,2,5,-0.0837716311,0.57950753,7,0.58553112
2011-02-06,2011,2,6,-0.22130699,0.62084359,7,0.65910816
2011-02-07,2011,2,7,-0.0159063432,0.27339262,7,0.27385497
2011-02-08,2011,2,8,0.20036535,0.12982988,5,0.23875107
2011-02-09,2011,2,9,0.0982913077,-0.0358581468,4,0.10462785
2011-02-10,2011,2,10,-0.37758166,-0.22499084,1,0.43953246
2011-02-11,2011,2,11,-0.37976018,-0.11488717,1,0.39675793
2011-02-12,2011,2,12,-0.23732992,0.22535044,8,0.32727405
2011-02-13,2011,2,13,0.0198302586,0.24294935,6,0.24375731
2011-02-14,2011,2,14,0.10528696,0.37694141,6,0.39136961
2011-02-15,2011,2,15,0.0262738448,0.41981634,6,0.4206377
2011-02-16,2011,2,16,-0.24301536,0.49314973,7,0.54977554
2011-02-17,2011,2,17,-0.18164659,0.72503531,7,0.74744344
2011-02-18,2011,2,18,-0.11410156,0.79680139,7,0.80492955
2011-02-19,2011,2,19,-0.19870575,0.98100847,7,1.0009303
2011-02-20,2011,2,20,-0.077381216,1.1636868,7,1.1662567
2011-02-21,2011,2,21,0.000501890434,1.105927,6,1.1059271
2011-02-22,2011,2,22,0.12951265,1.2167819,6,1.223655
2011-02-23,2011,2,23,0.0564777143,0.97761625,6,0.97924626
2011-02-24,2011,2,24,0.13059354,0.69929177,6,0.71138149
2011-02-25,2011,2,25,-0.15252557,0.27053401,7,0.31056833
2011-02-26,2011,2,26,-0.30197585,0.0742946044,8,0.31098089
2011-02-27,2011,2,27,-0.30833668,-0.0454618633,1,0.31167015
2011-02-28,2011,2,28,-0.38737586,0.13160482,8,0.40912086
2011-03-01,2011,3,1,-0.26208591,0.23590459,8,0.35261878
2011-03-02,2011,3,2,-0.0957001522,0.39235973,7,0.40386221
2011-03-03,2011,3,3,-0.11549311,0.4277949,7,0.44311073
2011-03-04,2011,3,4,-0.35388941,0.82371551,7,0.89651823
