,year,month,day,RMM1,RMM2,phase,amplitude
2005-01-01,2005,1,1,1.0930429,-0.89794391,4,1.4145833
2005-01-02,2005,1,2,1.3812118,-0.71301204,4,1.5543913
2005-01-03,2005,1,3,1.5887971,-0.68379223,4,1.7296959
2005-01-04,2005,1,4,2.0227084,-0.5945217,4,2.1082706
2005-01-05,2005,1,5,1.9479835,-0.41594276,4,1.9918957
2005-01-06,2005,1,6,1.6062162,-0.0813649073,4,1.6082757
2005-01-07,2005,1,7,1.4892495,0.35671437,5,1.5313749
2005-01-08,2005,1,8,1.3771307,0.94352478,5,1.6693497
2005-01-09,2005,1,9,1.1802384,1.3298827,6,1.778075
2005-01-10,2005,1,10,0.82210743,1.2930789,6,1.5322903
2005-01-11,2005,1,11,0.45520407,1.2080139,6,1.2909331
2005-01-12,2005,1,12,0.48164806,1.0446485,6,1.1503371
2005-01-13,2005,1,13,0.4761447,0.86069471,6,0.98362041
2005-01-14,2005,1,14,0.37385631,0.94366187,6,1.0150204
2005-01-15,2005,1,15,0.34308776,1.0587351,6,1.1129372
2005-01-16,2005,1,16,0.4369503,1.177572,6,1.256026
2005-01-17,2005,1,17,0.25171453,1.3217305,6,1.3454857
2005-01-18,2005,1,18,0.18109447,1.4735017,6,1.4845883
2005-01-19,2005,1,19,0.10729748,1.4138691,6,1.4179347
2005-01-20,2005,1,20,-0.47892427,1.2908914,7,1.3768693
2005-01-21,2005,1,21,-0.96879286,0.92307413,8,1.3381425
2005-01-22,2005,1,22,-0.9833436,0.50684798,8,1.1062819
2005-01-23,2005,1,23,-0.7453385,0.41955084,8,0.85530835
2005-01-24,2005,1,24,-0.48989198,0.3045634,8,0.57684749
2005-01-25,2005,1,25,-0.0743746087,0.1001834,7,0.12477298
2005-01-26,2005,1,26,0.28548625,0.0165422149,5,0.28596511
2005-01-27,2005,1,27,0.31226271,-0.0200460386,4,0.31290549
2005-01-28,2005,1,28,0.54388279,0.24574021,5,0.5968222
2005-01-29,2005,1,29,0.53762132,0.40380341,5,0.67237926
2005-01-30,2005,1,30,0.86681241,0.62165046,5,1.0666832
2005-01-31,2005,1,31,0.99024642,1.2190099,6,1.5705327
2005-02-01,2005,2,1,0.84335995,1.5154613,6,1.7343237
2005-02-02,2005,2,2,0.56939638,1.7409209,6,1.8316708
2005-02-03,2005,2,3,0.495179,1.9148048,6,1.9777967
2005-02-04,2005,2,4,0.42637801,1.9770851,6,2.0225389
2005-02-05,2005,2,5,0.39141008,1.8689512,6,1.9094974
2005-02-06,2005,2,6,0.13946353,1.929113,6,1.9341477
2005-02-07,2005,2,7,-0.27863255,2.0466661,7,2.0655456
2005-02-08,2005,2,8,-0.44624242,1.8439184,7,1.8971472
2005-02-09,2005,2,9,-0.57069129,1.8495781,7,1.9356208
2005-02-10,2005,2,10,-0.82426602,1.6258782,7,1.8228809
2005-02-11,2005,2,11,-1.0534261,1.6025695,7,1.9177945
2005-02-12,2005,2,12,-1.161674,1.7013887,7,2.060148
2005-02-13,2005,2,13,-1.1606424,1.6589757,7,2.0246706
2005-02-14,2005,2,14,-1.162357,1.3535821,7,1.7841688
2005-02-15,2005,2,15,-0.97866154,0.87869143,8,1.3152479
2005-02-16,2005,2,16,-0.81729937,0.77035838,8,1.1231341
2005-02-17,2005,2,17,-0.37492216,0.69663161,7,0.79111457
2005-02-18,2005,2,18,-0.14840977,0.88393772,7,0.89630985
2005-02-19,2005,2,19,-0.0216981228,0.90041918,7,0.9006806
2005-02-20,2005,2,20,-0.11032367,0.78572226,7,0.79342979
2005-02-21,2005,2,21,-0.31689021,0.77290589,7,0.83534598
2005-02-22,2005,2,22,-0.76319408,0.89618474,7,1.1771203
2005-02-23,2005,2,23,-0.83513552,0.83725554,7,1.1825601
2005-02-24,2005,2,24,-0.81386191,0.67877769,8,1.059769
2005-02-25,2005,2,25,-1.0284004,0.37027696,8,1.093029
2005-02-26,2005,2,26,-1.3413193,0.28726882,8,1.3717364
2005-02-27,2005,2,27,-1.4628865,0.27677342,8,1.4888386
2005-02-28,2005,2,28,-1.3955569,-0.0901428834,1,1.3984652
2005-03-01,2005,3,1,-1.1661044,-0.17705807,1,1.1794698
2005-03-02,2005,3,2,-1.1193235,0.00522714341,8,1.1193357
2005-03-03,2005,3,3,-1.1721354,0.3840051,8,1.2334347
2005-03-04,2005,3,4,-1.3004324,1.0630579,8,1.6796478
2005-03-05,2005,3,5,-1.5109661,1.0629835,8,1.8474177
2005-03-06,2005,3,6,-1.3072557,0.85720789,8,1.5632411
2005-03-07,2005,3,7,-1.3534195,1.0042205,8,1.6852902
2005-03-08,2005,3,8,-1.453959,0.77118647,8,1.6458206
2005-03-09,2005,3,9,-1.4257821,0.77891827,8,1.6246748
2005-03-10,2005,3,10,-1.1902628,0.80760485,8,1.4383849
2005-03-11,2005,3,11,-1.014124,0.83590221,8,1.3142222
2005-03-12,2005,3,12,-1.006986,0.66418988,8,1.2063038
2005-03-13,2005,3,13,-0.91371876,0.12326262,8,0.92199546
2005-03-14,2005,3,14,-0.85144401,-0.48075542,1,0.97779477
2005-03-15,2005,3,15,-1.0765256,-0.62343591,1,1.2440176
2005-03-16,2005,3,16,-1.3149186,-0.75593215,1,1.5167216
2005-03-17,2005,3,17,-0.83934474,-0.74998099,1,1.1255981
2005-03-18,2005,3,18,-0.50689971,-1.1017703,2,1.2127839
2005-03-19,2005,3,19,-0.44908684,-1.5329577,2,1.5973848
2005-03-20,2005,3,20,-0.0854251161,-1.7005154,2,1.7026597
2005-03-21,2005,3,21,0.23969389,-1.7599682,3,1.7762154
2005-03-22,2005,3,22,0.24569389,-1.8236338,3,1.8401102
2005-03-23,2005,3,23,0.75225109,-1.964173,3,2.1032968
2005-03-24,2005,3,24,0.8575418,-1.823221,3,2.0148232
2005-03-25,2005,3,25,0.83967793,-2.0525377,3,2.2176497
2005-03-26,2005,3,26,0.99438632,-2.1659963,3,2.3833473
2005-03-27,2005,3,27,0.99307889,-2.5513647,3,2.7378216
2005-03-28,2005,3,28,1.1907216,-2.6569898,3,2.9115996
2005-03-29,2005,3,29,1.3855267,-2.658814,3,2.998162
2005-03-30,2005,3,30,1.8026148,-2.7964199,3,3.3270683
2005-03-31,2005,3,31,2.0360222,-2.7756274,3,3.4423091
2005-04-01,2005,4,1,2.2035723,-2.8942745,3,3.6376579
2005-04-02,2005,4,2,2.4737923,-2.577517,3,3.5725682
2005-04-03,2005,4,3,2.7293682,-2.4178746,4,3.6463089
2005-04-04,2005,4,4,2.8970847,-2.328805,4,3.7170463
2005-04-05,2005,4,5,2.7527673,-1.840853,4,3.3115656
2005-04-06,2005,4,6,3.0245414,-1.4026383,4,3.3339534
2005-04-07,2005,4,7,3.2422955,-0.97904116,4,3.3868866
2005-04-08,2005,4,8,3.0458689,-0.52057016,4,3.090034
2005-04-09,2005,4,9,2.9288349,0.14155188,5,2.9322534
2005-04-10,2005,4,10,2.6450143,0.39472625,5,2.6743054
2005-04-11,2005,4,11,2.3716767,0.94422472,5,2.5527263
2005-04-12,2005,4,12,2.0631809,1.3936601,5,2.4897799
2005-04-13,2005,4,13,1.7903258,1.7755228,5,2.5214574
2005-04-14,2005,4,14,1.3029536,1.9924685,6,2.380676
2005-04-15,2005,4,15,0.70954239,2.3110926,6,2.4175606
2005-04-16,2005,4,16,0.12238198,2.227231,6,2.2305908
2005-04-17,2005,4,17,-0.53781575,2.0596602,7,2.1287193
2005-04-18,2005,4,18,-1.3431622,1.7789075,7,2.2290349
2005-04-19,2005,4,19,-1.9021809,1.5805513,8,2.4731426
2005-04-20,2005,4,20,-2.3193293,1.4425985,8,2.7313693
2005-04-21,2005,4,21,-2.3403504,1.2501824,8,2.6533368
2005-04-22,2005,4,22,-2.34008,0.98952079,8,2.540694
2005-04-23,2005,4,23,-2.3521543,1.0352014,8,2.5698776
2005-04-24,2005,4,24,-2.4180346,0.82871979,8,2.5561039
2005-04-25,2005,4,25,-2.1866944,0.33929569,8,2.2128611
2005-04-26,2005,4,26,-2.1191311,-0.12501729,1,2.1228156
2005-04-27,2005,4,27,-2.1264472,-0.33960122,1,2.1533942
2005-04-28,2005,4,28,-1.7549796,-0.38131818,1,1.7959279
2005-04-29,2005,4,29,-1.4766612,-0.76790959,1,1.6643958
2005-04-30,2005,4,30,-1.2011675,-1.2113469,2,1.7059203
2005-05-01,2005,5,1,-0.92963928,-1.788087,2,2.0153124
2005-05-02,2005,5,2,-0.72409582,-2.1165631,2,2.2369967
2005-05-03,2005,5,3,-0.0247081481,-2.607069,2,2.6071861
2005-05-04,2005,5,4,0.71968085,-2.5720813,3,2.6708694
2005-05-05,2005,5,5,1.5265582,-2.348887,3,2.8013656
2005-05-06,2005,5,6,2.0061173,-2.0153739,3,2.8436313
2005-05-07,2005,5,7,2.3615355,-1.8820244,4,3.0197461
2005-05-08,2005,5,8,2.5365396,-1.2648537,4,2.8344114
2005-05-09,2005,5,9,2.5637341,-0.43682119,4,2.6006815
2005-05-10,2005,5,10,2.3247912,0.40425092,5,2.3596764
2005-05-11,2005,5,11,1.8592101,1.1193089,5,2.1701417
2005-05-12,2005,5,12,1.2182801,1.5876578,6,2.0012155
2005-05-13,2005,5,13,0.37730667,1.6343764,6,1.677363
