,year,month,day,RMM1,RMM2,phase,amplitude
1992-01-01,1992,1,1,0.32516599,0.324563,5,0.45942801
1992-01-02,1992,1,2,0.31482199,0.28145501,5,0.42229101
1992-01-03,1992,1,3,0.174716,0.36314899,6,0.40299201
1992-01-04,1992,1,4,0.163991,0.59515202,6,0.61733198
1992-01-05,1992,1,5,0.144701,0.80754697,6,0.820409
1992-01-06,1992,1,6,0.27530801,0.97542,6,1.01353
1992-01-07,1992,1,7,0.29656199,0.97781402,6,1.0218
1992-01-08,1992,1,8,0.161778,1.30729,6,1.31726
1992-01-09,1992,1,9,-0.0191252008,1.69428,7,1.69438
1992-01-10,1992,1,10,-0.47152001,2.02337,7,2.07758
1992-01-11,1992,1,11,-0.87677002,1.92522,7,2.1154599
1992-01-12,1992,1,12,-1.27512,1.84474,7,2.2425399
1992-01-13,1992,1,13,-1.8237799,1.69039,8,2.48668
1992-01-14,1992,1,14,-1.93595,1.35265,8,2.36168
1992-01-15,1992,1,15,-1.99946,1.09989,8,2.2820201
1992-01-16,1992,1,16,-2.0536001,0.93767703,8,2.25755
1992-01-17,1992,1,17,-1.82688,0.77584499,8,1.9848
1992-01-18,1992,1,18,-1.67599,0.46549901,8,1.73943
1992-01-19,1992,1,19,-1.87008,0.14789499,8,1.87591
1992-01-20,1992,1,20,-1.84308,-0.0669784993,1,1.8443
1992-01-21,1992,1,21,-1.70455,-0.0646942034,1,1.70578
1992-01-22,1992,1,22,-1.79873,-0.10666,1,1.80189
1992-01-23,1992,1,23,-1.97282,0.0625709966,8,1.97381
1992-01-24,1992,1,24,-2.1154499,0.00864254031,8,2.1154699
1992-01-25,1992,1,25,-2.2824099,-0.10976,1,2.2850399
1992-01-26,1992,1,26,-2.43975,-0.53389001,1,2.4974799
1992-01-27,1992,1,27,-2.20783,-0.75744998,1,2.3341501
1992-01-28,1992,1,28,-2.01439,-0.82156998,1,2.1754899
1992-01-29,1992,1,29,-1.7575999,-0.92275,1,1.9851
1992-01-30,1992,1,30,-1.43589,-0.79180002,1,1.63974
1992-01-31,1992,1,31,-1.37941,-0.74998999,1,1.57012
1992-02-01,1992,2,1,-1.1296099,-0.67878997,1,1.31787
1992-02-02,1992,2,2,-0.98732001,-0.64863998,1,1.18133
1992-02-03,1992,2,3,-0.95104003,-0.63002998,1,1.1408
1992-02-04,1992,2,4,-0.88800001,-0.40294001,1,0.975146
