,Date,PC1,PC2,year
9862,2006-01-01,0.23094,-0.14131,2006
9863,2006-01-02,0.45406,-0.27148,2006
9864,2006-01-03,0.68372,-0.39376,2006
9865,2006-01-04,0.91051,-0.49689,2006
9866,2006-01-05,1.12385,-0.57041,2006
9867,2006-01-06,1.31211,-0.60629,2006
9868,2006-01-07,1.46346,-0.59995,2006
9869,2006-01-08,1.5673,-0.55016,2006
9870,2006-01-09,1.61575,-0.4581,2006
9871,2006-01-10,1.60474,-0.32619,2006
9872,2006-01-11,1.53422,-0.15734,2006
9873,2006-01-12,1.40775,0.04499,2006
9874,2006-01-13,1.2317,0.27638,2006
9875,2006-01-14,1.01416,0.53079,2006
9876,2006-01-15,0.76408,0.80015,2006
9877,2006-01-16,0.49039,1.07419,2006
9878,2006-01-17,0.20152,1.34073,2006
9879,2006-01-18,-0.09473,1.58628,2006
9880,2006-01-19,-0.39111,1.79698,2006
9881,2006-01-20,-0.68056,1.95976,2006
9882,2006-01-21,-0.9559,2.06355,2006
9883,2006-01-22,-1.20975,2.10045,2006
9884,2006-01-23,-1.43493,2.06641,2006
9885,2006-01-24,-1.6253,1.96159,2006
9886,2006-01-25,-1.77671,1.78993,2006
9887,2006-01-26,-1.88777,1.55851,2006
9888,2006-01-27,-1.96004,1.27662,2006
9889,2006-01-28,-1.99763,0.95496,2006
9890,2006-01-29,-2.00622,0.605,2006
9891,2006-01-30,-1.99193,0.23847,2006
9892,2006-01-31,-1.96016,-0.13305,2006
9893,2006-02-01,-1.91457,-0.49851,2006
9894,2006-02-02,-1.8565,-0.84778,2006
9895,2006-02-03,-1.78473,-1.1719,2006
9896,2006-02-04,-1.69586,-1.46314,2006
9897,2006-02-05,-1.58525,-1.71483,2006
9898,2006-02-06,-1.4487,-1.92085,2006
9899,2006-02-07,-1.28469,-2.07521,2006
9900,2006-02-08,-1.09636,-2.1723,2006
9901,2006-02-09,-0.89174,-2.20824,2006
9902,2006-02-10,-0.68127,-2.18293,2006
9903,2006-02-11,-0.47358,-2.10121,2006
9904,2006-02-12,-0.27242,-1.97231,2006
9905,2006-02-13,-0.07645,-1.80798,2006
9906,2006-02-14,0.11861,-1.6207,2006
9907,2006-02-15,0.31729,-1.42236,2006
9908,2006-02-16,0.52229,-1.22337,2006
9909,2006-02-17,0.73344,-1.0319,2006
