,Date,PC1,PC2,year
13514,2016-01-01,-1.08965,-2.11481,2016
13515,2016-01-02,-0.71844,-2.32357,2016
13516,2016-01-03,-0.30924,-2.46929,2016
13517,2016-01-04,0.12679,-2.54318,2016
13518,2016-01-05,0.57369,-2.54033,2016
13519,2016-01-06,1.01175,-2.46156,2016
13520,2016-01-07,1.41995,-2.31451,2016
13521,2016-01-08,1.77913,-2.11305,2016
13522,2016-01-09,2.07449,-1.87497,2016
13523,2016-01-10,2.29677,-1.61885,2016
13524,2016-01-11,2.44192,-1.36127,2016
13525,2016-01-12,2.51011,-1.11514,2016
13526,2016-01-13,2.50459,-0.88906,2016
13527,2016-01-14,2.43104,-0.68753,2016
13528,2016-01-15,2.29708,-0.51161,2016
13529,2016-01-16,2.11207,-0.35974,2016
13530,2016-01-17,1.88692,-0.22858,2016
13531,2016-01-18,1.63375,-0.11374,2016
13532,2016-01-19,1.36546,-0.01032,2016
13533,2016-01-20,1.09503,0.08681,2016
13534,2016-01-21,0.83492,0.18276,2016
13535,2016-01-22,0.59627,0.28258,2016
13536,2016-01-23,0.38837,0.39101,2016
13537,2016-01-24,0.21822,0.51203,2016
13538,2016-01-25,0.09028,0.64825,2016
13539,2016-01-26,0.00641,0.80028,2016
13540,2016-01-27,-0.03416,0.96629,2016
13541,2016-01-28,-0.0348,1.14201,2016
13542,2016-01-29,-0.00146,1.32109,2016
13543,2016-01-30,0.05749,1.49592,2016
13544,2016-01-31,0.13153,1.65844,2016
13545,2016-02-01,0.20847,1.80108,2016
13546,2016-02-02,0.27521,1.91731,2016
13547,2016-02-03,0.31872,2.00197,2016
13548,2016-02-04,0.3274,2.05107,2016
13549,2016-02-05,0.29253,2.0613,2016
13550,2016-02-06,0.21007,2.0294,2016
13551,2016-02-07,0.08214,1.95196,2016
13552,2016-02-08,-0.08236,1.82621,2016
13553,2016-02-09,-0.2693,1.65184,2016
13554,2016-02-10,-0.46304,1.43289,2016
13555,2016-02-11,-0.6505,1.17801,2016
13556,2016-02-12,-0.82333,0.89892,2016
13557,2016-02-13,-0.97714,0.60803,2016
13558,2016-02-14,-1.10952,0.31659,2016
13559,2016-02-15,-1.21818,0.03366,2016
13560,2016-02-16,-1.29998,-0.23419,2016
13561,2016-02-17,-1.35085,-0.48291,2016
13562,2016-02-18,-1.36609,-0.7106,2016
13563,2016-02-19,-1.34095,-0.9169,2016
13564,2016-02-20,-1.27118,-1.10209,2016
13565,2016-02-21,-1.15371,-1.26595,2016
13566,2016-02-22,-0.98762,-1.40654,2016
13567,2016-02-23,-0.77555,-1.51941,2016
13568,2016-02-24,-0.52537,-1.59824,2016
13569,2016-02-25,-0.25067,-1.63739,2016
13570,2016-02-26,0.03125,-1.63536,2016
13571,2016-02-27,0.30362,-1.59636,2016
13572,2016-02-28,0.55384,-1.52866,2016
13573,2016-02-29,0.77437,-1.44128,2016
13574,2016-03-01,0.98691,-1.32315,2016
13575,2016-03-02,1.1332,-1.2155,2016
13576,2016-03-03,1.24392,-1.10378,2016
13577,2016-03-04,1.32014,-0.987,2016
13578,2016-03-05,1.36327,-0.86283,2016
13579,2016-03-06,1.37521,-0.72847,2016
13580,2016-03-07,1.35832,-0.58129,2016
13581,2016-03-08,1.31521,-0.41933,2016
13582,2016-03-09,1.24824,-0.24174,2016
13583,2016-03-10,1.15887,-0.04913,2016
13584,2016-03-11,1.04678,0.1561,2016
13585,2016-03-12,0.90887,0.36922,2016
13586,2016-03-13,0.73863,0.58183,2016
13587,2016-03-14,0.5276,0.77946,2016
13588,2016-03-15,0.27236,0.93977,2016
13589,2016-03-16,-0.01315,1.03885,2016
13590,2016-03-17,-0.29629,1.06792,2016
13591,2016-03-18,-0.5461,1.03997,2016
13592,2016-03-19,-0.74927,0.97568,2016
13593,2016-03-20,-0.90639,0.89055,2016
13594,2016-03-21,-1.02322,0.79336,2016
13595,2016-03-22,-1.10611,0.68899,2016
13596,2016-03-23,-1.16064,0.58071,2016
13597,2016-03-24,-1.19134,0.47139,2016
13598,2016-03-25,-1.20174,0.36396,2016
13599,2016-03-26,-1.19442,0.26144,2016
13600,2016-03-27,-1.17111,0.1668,2016
13601,2016-03-28,-1.13293,0.08275,2016
13602,2016-03-29,-1.08053,0.01151,2016
13603,2016-03-30,-1.01439,-0.04531,2016
13604,2016-03-31,-0.93513,-0.08676,2016
13605,2016-04-01,-0.84383,-0.11242,2016
13606,2016-04-02,-0.74233,-0.12218,2016
13607,2016-04-03,-0.63346,-0.11597,2016
13608,2016-04-04,-0.52115,-0.09373,2016
13609,2016-04-05,-0.41007,-0.05584,2016
13610,2016-04-06,-0.30468,-0.00414,2016
13611,2016-04-07,-0.20802,0.05713,2016
13612,2016-04-08,-0.1211,0.12149,2016
13613,2016-04-09,-0.04339,0.18137,2016
13614,2016-04-10,0.02604,0.22957,2016
13615,2016-04-11,0.08745,0.26033,2016
