,Date,PC1,PC2,year
1096,1982-01-01,1.79673,-0.83963,1982
1097,1982-01-02,1.85072,-0.62567,1982
1098,1982-01-03,1.87019,-0.38701,1982
1099,1982-01-04,1.85497,-0.12736,1982
1100,1982-01-05,1.80602,0.14635,1982
1101,1982-01-06,1.72604,0.42461,1982
1102,1982-01-07,1.62003,0.6966,1982
1103,1982-01-08,1.49499,0.95183,1982
1104,1982-01-09,1.35889,1.1813,1982
1105,1982-01-10,1.21911,1.37815,1982
1106,1982-01-11,1.08113,1.53752,1982
1107,1982-01-12,0.94781,1.65638,1982
1108,1982-01-13,0.81937,1.73328,1982
1109,1982-01-14,0.69385,1.76831,1982
1110,1982-01-15,0.56797,1.76317,1982
1111,1982-01-16,0.43803,1.72109,1982
1112,1982-01-17,0.3008,1.64672,1982
1113,1982-01-18,0.15421,1.54579,1982
1114,1982-01-19,-0.00221,1.42472,1982
1115,1982-01-20,-0.16717,1.29021,1982
1116,1982-01-21,-0.33779,1.14894,1982
1117,1982-01-22,-0.50998,1.00725,1982
1118,1982-01-23,-0.67892,0.87097,1982
1119,1982-01-24,-0.83956,0.74514,1982
1120,1982-01-25,-0.98699,0.63368,1982
1121,1982-01-26,-1.11665,0.53904,1982
1122,1982-01-27,-1.2245,0.4619,1982
1123,1982-01-28,-1.30715,0.40109,1982
1124,1982-01-29,-1.36205,0.35374,1982
1125,1982-01-30,-1.38772,0.31569,1982
1126,1982-01-31,-1.38391,0.28208,1982
1127,1982-02-01,-1.3517,0.24802,1982
1128,1982-02-02,-1.29343,0.20925,1982
1129,1982-02-03,-1.2124,0.16265,1982
1130,1982-02-04,-1.11256,0.10666,1982
1131,1982-02-05,-0.99802,0.04154,1982
1132,1982-02-06,-0.87275,-0.03068,1982
1133,1982-02-07,-0.74051,-0.10641,1982
1134,1982-02-08,-0.60505,-0.18131,1982
1135,1982-02-09,-0.47054,-0.25155,1982
1136,1982-02-10,-0.34155,-0.31502,1982
1137,1982-02-11,-0.22264,-0.37192,1982
1138,1982-02-12,-0.11764,-0.42415,1982
1139,1982-02-13,-0.02919,-0.47419,1982
1140,1982-02-14,0.04136,-0.52411,1982
1141,1982-02-15,0.0939,-0.57508,1982
1142,1982-02-16,0.12945,-0.62727,1982
1143,1982-02-17,0.1501,-0.67995,1982
