,Date,PC1,PC2,year
15341,2021-01-01,0.51914,-0.24912,2021
15342,2021-01-02,0.68179,-0.13802,2021
15343,2021-01-03,0.81643,-0.0155,2021
15344,2021-01-04,0.91791,0.11272,2021
15345,2021-01-05,0.98365,0.23958,2021
15346,2021-01-06,1.0142,0.35723,2021
15347,2021-01-07,1.01325,0.45813,2021
15348,2021-01-08,0.98699,0.53635,2021
15349,2021-01-09,0.94286,0.58864,2021
15350,2021-01-10,0.88818,0.61472,2021
15351,2021-01-11,0.82918,0.6169,2021
15352,2021-01-12,0.77043,0.59935,2021
15353,2021-01-13,0.71481,0.56722,2021
15354,2021-01-14,0.66367,0.52594,2021
15355,2021-01-15,0.6171,0.4807,2021
15356,2021-01-16,0.57427,0.43612,2021
15357,2021-01-17,0.53364,0.39599,2021
15358,2021-01-18,0.49327,0.3631,2021
15359,2021-01-19,0.45102,0.33913,2021
15360,2021-01-20,0.40478,0.32457,2021
15361,2021-01-21,0.35275,0.3188,2021
15362,2021-01-22,0.29363,0.32016,2021
15363,2021-01-23,0.22686,0.32619,2021
15364,2021-01-24,0.15267,0.33394,2021
15365,2021-01-25,0.07215,0.34028,2021
15366,2021-01-26,-0.01294,0.34214,2021
15367,2021-01-27,-0.10035,0.33663,2021
15368,2021-01-28,-0.18762,0.32112,2021
15369,2021-01-29,-0.2723,0.29331,2021
15370,2021-01-30,-0.35214,0.25125,2021
15371,2021-01-31,-0.42517,0.19348,2021
15372,2021-02-01,-0.4897,0.11916,2021
15373,2021-02-02,-0.54428,0.02828,2021
15374,2021-02-03,-0.58749,-0.07819,2021
15375,2021-02-04,-0.6179,-0.19818,2021
15376,2021-02-05,-0.63398,-0.32836,2021
15377,2021-02-06,-0.63441,-0.46407,2021
15378,2021-02-07,-0.61881,-0.59929,2021
15379,2021-02-08,-0.58871,-0.72698,2021
15380,2021-02-09,-0.54838,-0.83991,2021
15381,2021-02-10,-0.50447,-0.93192,2021
15382,2021-02-11,-0.46424,-0.99896,2021
15383,2021-02-12,-0.4334,-1.03925,2021
15384,2021-02-13,-0.41466,-1.0528,2021
15385,2021-02-14,-0.40765,-1.04072,2021
