,Date,PC1,PC2,year
10592,2008-01-01,-1.34953,1.95795,2008
10593,2008-01-02,-1.49989,1.70201,2008
10594,2008-01-03,-1.65261,1.40648,2008
10595,2008-01-04,-1.80266,1.07661,2008
10596,2008-01-05,-1.94329,0.71979,2008
10597,2008-01-06,-2.06739,0.3456,2008
10598,2008-01-07,-2.16899,-0.03467,2008
10599,2008-01-08,-2.2442,-0.40913,2008
10600,2008-01-09,-2.29121,-0.76684,2008
10601,2008-01-10,-2.30939,-1.09909,2008
10602,2008-01-11,-2.29827,-1.4001,2008
10603,2008-01-12,-2.25691,-1.6671,2008
10604,2008-01-13,-2.1837,-1.89998,2008
10605,2008-01-14,-2.07667,-2.10057,2008
10606,2008-01-15,-1.93389,-2.27189,2008
10607,2008-01-16,-1.75403,-2.41722,2008
10608,2008-01-17,-1.53668,-2.53924,2008
10609,2008-01-18,-1.28275,-2.63929,2008
10610,2008-01-19,-0.99473,-2.71684,2008
10611,2008-01-20,-0.67694,-2.76946,2008
10612,2008-01-21,-0.33564,-2.79307,2008
10613,2008-01-22,0.02099,-2.78276,2008
10614,2008-01-23,0.38327,-2.73375,2008
10615,2008-01-24,0.74071,-2.6423,2008
10616,2008-01-25,1.08298,-2.50633,2008
10617,2008-01-26,1.40077,-2.32559,2008
10618,2008-01-27,1.68641,-2.10155,2008
10619,2008-01-28,1.93412,-1.83708,2008
10620,2008-01-29,2.13981,-1.5362,2008
10621,2008-01-30,2.30063,-1.20391,2008
10622,2008-01-31,2.41444,-0.84607,2008
10623,2008-02-01,2.47922,-0.46943,2008
10624,2008-02-02,2.49259,-0.08157,2008
10625,2008-02-03,2.45157,0.30899,2008
10626,2008-02-04,2.35264,0.69249,2008
10627,2008-02-05,2.19243,1.05748,2008
10628,2008-02-06,1.96928,1.39027,2008
10629,2008-02-07,1.6857,1.67497,2008
10630,2008-02-08,1.35106,1.89513,2008
10631,2008-02-09,0.98263,2.03738,2008
10632,2008-02-10,0.60314,2.09594,2008
10633,2008-02-11,0.23542,2.07495,2008
10634,2008-02-12,-0.10263,1.98694,2008
10635,2008-02-13,-0.39992,1.84902,2008
10636,2008-02-14,-0.65118,1.67907,2008
10637,2008-02-15,-0.85482,1.49342,2008
10638,2008-02-16,-1.01114,1.3057,2008
10639,2008-02-17,-1.12135,1.12652,2008
10640,2008-02-18,-1.18726,0.96335,2008
10641,2008-02-19,-1.2114,0.82074,2008
10642,2008-02-20,-1.19728,0.70065,2008
10643,2008-02-21,-1.14965,0.60306,2008
10644,2008-02-22,-1.07447,0.52669,2008
10645,2008-02-23,-0.97859,0.46968,2008
10646,2008-02-24,-0.86919,0.42969,2008
10647,2008-02-25,-0.75287,0.40324,2008
10648,2008-02-26,-0.63501,0.38445,2008
10649,2008-02-27,-0.51955,0.36451,2008
10650,2008-02-28,-0.40944,0.33259,2008
10651,2008-02-29,-0.30737,0.278,2008
10652,2008-03-01,-0.22052,0.18723,2008
10653,2008-03-02,-0.14046,0.06755,2008
10654,2008-03-03,-0.07767,-0.08892,2008
10655,2008-03-04,-0.03475,-0.27824,2008
10656,2008-03-05,-0.01245,-0.49249,2008
10657,2008-03-06,-0.00898,-0.72072,2008
10658,2008-03-07,-0.01973,-0.95014,2008
10659,2008-03-08,-0.03717,-1.16732,2008
10660,2008-03-09,-0.05117,-1.35936,2008
10661,2008-03-10,-0.04968,-1.51467,2008
10662,2008-03-11,-0.01966,-1.62325,2008
10663,2008-03-12,0.05133,-1.67617,2008
10664,2008-03-13,0.17215,-1.6641,2008
10665,2008-03-14,0.342,-1.57583,2008
10666,2008-03-15,0.54078,-1.40074,2008
10667,2008-03-16,0.72545,-1.14011,2008
10668,2008-03-17,0.85054,-0.81776,2008
10669,2008-03-18,0.89786,-0.46927,2008
10670,2008-03-19,0.87691,-0.12261,2008
10671,2008-03-20,0.80577,0.20554,2008
10672,2008-03-21,0.69923,0.50439,2008
10673,2008-03-22,0.56652,0.76523,2008
10674,2008-03-23,0.41261,0.98061,2008
10675,2008-03-24,0.23992,1.14464,2008
10676,2008-03-25,0.04989,1.25354,2008
10677,2008-03-26,-0.15585,1.30579,2008
10678,2008-03-27,-0.37448,1.30207,2008
10679,2008-03-28,-0.60126,1.24481,2008
10680,2008-03-29,-0.82905,1.13763,2008
10681,2008-03-30,-1.04811,0.9848,2008
10682,2008-03-31,-1.24609,0.79098,2008
10683,2008-04-01,-1.40844,0.56147,2008
10684,2008-04-02,-1.51913,0.30326,2008
10685,2008-04-03,-1.56214,0.02682,2008
10686,2008-04-04,-1.52426,-0.25168,2008
10687,2008-04-05,-1.39915,-0.50972,2008
10688,2008-04-06,-1.19136,-0.72165,2008
10689,2008-04-07,-0.91673,-0.86601,2008
10690,2008-04-08,-0.59785,-0.93238,2008
10691,2008-04-09,-0.25759,-0.92296,2008
10692,2008-04-10,0.08494,-0.84912,2008
10693,2008-04-11,0.41504,-0.72648,2008
10694,2008-04-12,0.7213,-0.57116,2008
10695,2008-04-13,0.99439,-0.39777,2008
10696,2008-04-14,1.2263,-0.21851,2008
10697,2008-04-15,1.41015,-0.04301,2008
10698,2008-04-16,1.54036,0.12145,2008
10699,2008-04-17,1.61302,0.26954,2008
10700,2008-04-18,1.62638,0.39751,2008
10701,2008-04-19,1.58121,0.50278,2008
10702,2008-04-20,1.48106,0.58374,2008
10703,2008-04-21,1.33224,0.63968,2008
10704,2008-04-22,1.14351,0.67081,2008
10705,2008-04-23,0.9255,0.67831,2008
10706,2008-04-24,0.68991,0.66438,2008
10707,2008-04-25,0.44859,0.63225,2008
10708,2008-04-26,0.21261,0.58605,2008
10709,2008-04-27,-0.00855,0.53076,2008
10710,2008-04-28,-0.20772,0.47193,2008
10711,2008-04-29,-0.38044,0.41544,2008
10712,2008-04-30,-0.52511,0.36714,2008
10713,2008-05-01,-0.64284,0.33219,2008
10714,2008-05-02,-0.73692,0.31445,2008
10715,2008-05-03,-0.81208,0.31583,2008
10716,2008-05-04,-0.87371,0.3358,2008
10717,2008-05-05,-0.92707,0.37131,2008
10718,2008-05-06,-0.97682,0.417,2008
10719,2008-05-07,-1.02665,0.46558,2008
10720,2008-05-08,-1.07905,0.50839,2008
10721,2008-05-09,-1.13514,0.53608,2008
10722,2008-05-10,-1.19454,0.53923,2008
10723,2008-05-11,-1.25513,0.50909,2008
10724,2008-05-12,-1.31291,0.43836,2008
10725,2008-05-13,-1.36192,0.32201,2008
10726,2008-05-14,-1.39436,0.15814,2008
10727,2008-05-15,-1.4012,-0.05123,2008
10728,2008-05-16,-1.37323,-0.29967,2008
10729,2008-05-17,-1.30261,-0.57648,2008
10730,2008-05-18,-1.18446,-0.86759,2008
10731,2008-05-19,-1.01788,-1.15716,2008
10732,2008-05-20,-0.80607,-1.42932,2008
