,Date,PC1,PC2,phase,amplitude,year
10227,2007-01-01,1.9462706,-0.5897328,4,2.0336552,2007
10228,2007-01-02,2.2204449,-0.1993177,4,2.2293727,2007
10229,2007-01-03,2.2573171,0.064399,5,2.2582355,2007
10230,2007-01-04,2.1534381,0.279807,5,2.1715403,2007
10231,2007-01-05,1.7408677,0.362554,5,1.7782199,2007
10232,2007-01-06,1.6109645,0.5095859,5,1.6896403,2007
10233,2007-01-07,1.6109488,0.7061332,5,1.7589145,2007
10234,2007-01-08,1.1845474,0.5517925,5,1.3067622,2007
10235,2007-01-09,0.9691344,0.5397512,5,1.1093029,2007
10236,2007-01-10,0.8425641,0.7745125,5,1.1444578,2007
10237,2007-01-11,0.6805794,0.7561431,6,1.0173204,2007
10238,2007-01-12,1.0079979,0.7472603,5,1.254774,2007
10239,2007-01-13,1.0015208,0.7793269,5,1.269013,2007
10240,2007-01-14,0.9491231,0.8052233,5,1.2446764,2007
10241,2007-01-15,0.5876368,0.5860074,5,0.8298926,2007
10242,2007-01-16,0.1555764,0.3506149,6,0.3835815,2007
10243,2007-01-17,-0.034667,0.1899677,7,0.193105,2007
10244,2007-01-18,-0.3572995,0.3012601,8,0.4673549,2007
10245,2007-01-19,-0.4068741,0.138528,8,0.4298099,2007
10246,2007-01-20,-0.3514774,0.124047,8,0.3727251,2007
10247,2007-01-21,-0.237901,0.1476762,8,0.2800092,2007
10248,2007-01-22,-0.1632356,0.0292726,8,0.1658395,2007
10249,2007-01-23,-0.3524809,0.0813049,8,0.3617365,2007
10250,2007-01-24,-0.3612898,0.5123944,7,0.6269596,2007
10251,2007-01-25,-0.2702202,0.9714053,7,1.0082893,2007
10252,2007-01-26,-0.0989955,0.9941537,7,0.9990705,2007
10253,2007-01-27,-0.177123,0.8476452,7,0.8659532,2007
10254,2007-01-28,-0.1116628,1.0141315,7,1.0202605,2007
10255,2007-01-29,-0.0913824,1.0429324,7,1.0469283,2007
10256,2007-01-30,-0.0420555,0.8621916,7,0.8632166,2007
10257,2007-01-31,0.1716334,0.5708866,6,0.5961288,2007
10258,2007-02-01,0.3132538,0.5093135,6,0.5979366,2007
10259,2007-02-02,0.3051379,0.331881,6,0.4508371,2007
10260,2007-02-03,0.2674482,0.3531161,6,0.4429667,2007
10261,2007-02-04,0.4338449,0.1892917,5,0.4733421,2007
10262,2007-02-05,0.4180482,0.1298353,5,0.437746,2007
10263,2007-02-06,0.3150591,0.0207667,5,0.3157428,2007
10264,2007-02-07,0.1924723,-0.132028,4,0.233403,2007
10265,2007-02-08,0.1004499,-0.0983718,4,0.1405959,2007
10266,2007-02-09,0.004136,0.169733,6,0.1697834,2007
10267,2007-02-10,-0.1531075,0.0012849,8,0.1531129,2007
10268,2007-02-11,-0.2255809,-0.1790003,1,0.2879719,2007
10269,2007-02-12,-0.5076803,-0.2395716,1,0.5613678,2007
10270,2007-02-13,-0.8369897,-0.4614737,1,0.955777,2007
10271,2007-02-14,-0.9558452,-0.7884796,1,1.2390884,2007
10272,2007-02-15,-0.6782717,-1.0082374,2,1.2151523,2007
10273,2007-02-16,-0.220814,-1.0615759,2,1.084298,2007
10274,2007-02-17,-0.0398606,-1.3546169,2,1.3552033,2007
10275,2007-02-18,0.1366782,-1.6035284,3,1.6093428,2007
10276,2007-02-19,0.1615493,-1.790099,3,1.7973738,2007
10277,2007-02-20,0.3982281,-2.019372,3,2.0582635,2007
10278,2007-02-21,0.5922621,-1.876014,3,1.9672831,2007
10279,2007-02-22,0.7740459,-1.793486,3,1.9533917,2007
10280,2007-02-23,1.0241795,-1.7538589,3,2.0310009,2007
10281,2007-02-24,1.1350752,-1.4620432,3,1.8509364,2007
10282,2007-02-25,1.4821397,-1.4163797,4,2.0500901,2007
10283,2007-02-26,1.6764132,-1.0442842,4,1.9750673,2007
10284,2007-02-27,1.7567577,-0.4202152,4,1.8063164,2007
10285,2007-02-28,1.7834023,-0.1063434,4,1.7865701,2007
10286,2007-03-01,2.1047454,0.1763373,5,2.1121194,2007
10287,2007-03-02,2.2080727,0.7361364,5,2.3275485,2007
10288,2007-03-03,2.2481215,1.2554214,5,2.5749047,2007
10289,2007-03-04,1.9517076,1.6140543,5,2.5326536,2007
10290,2007-03-05,1.8340055,2.1059387,6,2.7925889,2007
10291,2007-03-06,1.6192087,2.2356927,6,2.7604635,2007
10292,2007-03-07,1.1833003,1.8514175,6,2.1972589,2007
10293,2007-03-08,0.8123385,1.5598766,6,1.7587236,2007
10294,2007-03-09,0.4310569,1.4503015,6,1.5130051,2007
10295,2007-03-10,0.4292397,1.1084234,6,1.1886332,2007
10296,2007-03-11,0.5923409,1.1002822,6,1.2495954,2007
10297,2007-03-12,0.5043406,0.9180344,6,1.0474477,2007
10298,2007-03-13,0.4199287,0.6528281,6,0.7762246,2007
10299,2007-03-14,0.5400065,0.3096982,5,0.622511,2007
10300,2007-03-15,0.5793302,-0.0410594,4,0.5807834,2007
10301,2007-03-16,0.706841,0.077426,5,0.7110689,2007
10302,2007-03-17,0.8038442,0.0220391,5,0.8041462,2007
10303,2007-03-18,0.9885381,-0.0734643,4,0.9912642,2007
10304,2007-03-19,0.9786708,-0.1278191,4,0.9869823,2007
10305,2007-03-20,0.8142872,-0.0220907,4,0.8145868,2007
10306,2007-03-21,0.6196501,-0.1106165,4,0.629446,2007
10307,2007-03-22,0.5580987,0.0479213,5,0.5601524,2007
10308,2007-03-23,0.4907566,0.3265184,5,0.5894542,2007
10309,2007-03-24,0.759661,0.6277339,5,0.9854617,2007
10310,2007-03-25,0.8772684,0.8399488,5,1.2145426,2007
10311,2007-03-26,0.8591228,0.9722913,6,1.2974753,2007
10312,2007-03-27,0.9450356,1.1748235,6,1.5077475,2007
10313,2007-03-28,1.0407923,1.1949449,6,1.5846583,2007
10314,2007-03-29,0.8822299,0.9921873,6,1.3276917,2007
10315,2007-03-30,0.5415185,1.0914469,6,1.2184,2007
10316,2007-03-31,0.1956974,1.1626292,6,1.1789844,2007
10317,2007-04-01,0.044154,1.1190833,6,1.119954,2007
10318,2007-04-02,-0.0289905,1.0724698,7,1.0728616,2007
10319,2007-04-03,-0.2919647,0.8602101,7,0.9084078,2007
10320,2007-04-04,-0.8953946,0.7590221,8,1.1738168,2007
10321,2007-04-05,-1.0515163,0.7034813,8,1.2651373,2007
10322,2007-04-06,-0.899465,0.5966725,8,1.0793773,2007
10323,2007-04-07,-0.8637852,0.3065262,8,0.9165605,2007
10324,2007-04-08,-0.9760695,0.0809964,8,0.9794243,2007
10325,2007-04-09,-1.0037717,0.0048017,8,1.0037831,2007
10326,2007-04-10,-0.6302034,0.2620038,8,0.6824971,2007
10327,2007-04-11,-0.2823969,0.4616956,7,0.5412124,2007
10328,2007-04-12,-0.0973612,0.5711657,7,0.5794044,2007
10329,2007-04-13,0.0562986,0.5312976,6,0.5342721,2007
10330,2007-04-14,0.1447257,0.5115265,6,0.5316059,2007
10331,2007-04-15,0.3856513,0.5334735,6,0.6582711,2007
10332,2007-04-16,0.4651294,0.5754649,6,0.739936,2007
10333,2007-04-17,0.4373768,0.5915606,6,0.7356918,2007
10334,2007-04-18,0.0612278,0.4658993,6,0.4699053,2007
10335,2007-04-19,-0.122213,0.2381401,7,0.2676691,2007
10336,2007-04-20,-0.0915465,-0.1307503,2,0.1596133,2007
10337,2007-04-21,0.1333156,-0.4713474,3,0.4898381,2007
10338,2007-04-22,0.2843595,-0.3897109,3,0.482426,2007
10339,2007-04-23,0.1915137,-0.3106864,3,0.3649706,2007
10340,2007-04-24,0.0276284,-0.4534788,3,0.4543197,2007
10341,2007-04-25,-0.0498342,-0.6809616,2,0.6827826,2007
10342,2007-04-26,-0.1382656,-0.9310824,2,0.9412926,2007
10343,2007-04-27,-0.0065246,-1.0974461,2,1.0974655,2007
