,Date,PC1,PC2,phase,amplitude,year
15423,2021-03-24,-0.1498735,-1.1072717,2,1.1173686,2021
15424,2021-03-25,0.0782135,-0.6988433,3,0.7032064,2021
15425,2021-03-26,0.2885127,-0.7676582,3,0.8200846,2021
15426,2021-03-27,0.8683789,-0.812336,4,1.1891054,2021
15427,2021-03-28,1.146208,-0.772886,4,1.3824419,2021
15428,2021-03-29,1.0713971,-0.5036554,4,1.1838751,2021
15429,2021-03-30,1.2465708,-0.2725191,4,1.2760116,2021
15430,2021-03-31,1.1430711,-0.1609242,4,1.1543431,2021
15431,2021-04-01,1.3209728,0.2117375,5,1.3378348,2021
15432,2021-04-02,1.3737619,0.5133313,5,1.466537,2021
15433,2021-04-03,1.2657512,0.6298572,5,1.4138056,2021
15434,2021-04-04,1.1742401,0.7486877,5,1.3926138,2021
15435,2021-04-05,0.9708782,0.9691575,5,1.3718129,2021
15436,2021-04-06,0.7822451,1.4683952,6,1.6637584,2021
15437,2021-04-07,0.7148756,1.7241204,6,1.8664507,2021
15438,2021-04-08,0.8555912,1.696568,6,1.9000999,2021
15439,2021-04-09,0.7396407,1.5710418,6,1.7364448,2021
15440,2021-04-10,0.4918089,1.5377039,6,1.6144377,2021
15441,2021-04-11,0.1509873,1.8506596,6,1.8568085,2021
15442,2021-04-12,-0.1309994,1.8582368,7,1.8628485,2021
15443,2021-04-13,-0.3729653,1.9104211,7,1.9464872,2021
15444,2021-04-14,-0.4552194,1.760545,7,1.8184453,2021
15445,2021-04-15,-0.4697616,1.6265855,7,1.6930612,2021
15446,2021-04-16,-0.5753499,1.4776412,7,1.5857021,2021
15447,2021-04-17,-0.7003828,1.5543971,7,1.7049006,2021
15448,2021-04-18,-0.6357452,1.8018081,7,1.9106764,2021
15449,2021-04-19,-0.4780686,1.8751045,7,1.9350883,2021
15450,2021-04-20,-0.4391083,1.858699,7,1.9098632,2021
15451,2021-04-21,-0.3980192,1.653283,7,1.7005188,2021
15452,2021-04-22,-0.2719885,1.5346555,7,1.5585715,2021
15453,2021-04-23,-0.3297165,1.6113766,7,1.6447637,2021
15454,2021-04-24,-0.8078879,1.6496193,7,1.8368251,2021
15455,2021-04-25,-1.4102776,1.6654164,7,2.1823142,2021
15456,2021-04-26,-1.954198,1.4364227,8,2.4253247,2021
15457,2021-04-27,-2.4416547,1.1570191,8,2.7019198,2021
15458,2021-04-28,-2.6105764,1.0347999,8,2.808188,2021
15459,2021-04-29,-2.8981185,0.6507192,8,2.9702737,2021
15460,2021-04-30,-3.1760941,0.1392563,8,3.1791453,2021
15461,2021-05-01,-3.1547425,-0.152489,1,3.1584256,2021
15462,2021-05-02,-3.1464212,-0.5120127,1,3.1878085,2021
15463,2021-05-03,-2.7435257,-0.8455309,1,2.8708632,2021
15464,2021-05-04,-2.1652536,-1.14311,1,2.4484739,2021
15465,2021-05-05,-1.7157936,-1.5843302,1,2.3353908,2021
15466,2021-05-06,-1.1847328,-1.7859137,2,2.1431472,2021
15467,2021-05-07,-0.458725,-1.7530692,2,1.8120928,2021
15468,2021-05-08,0.0671278,-1.359934,3,1.3615897,2021
15469,2021-05-09,0.6399945,-1.0644679,3,1.2420486,2021
15470,2021-05-10,0.7308607,-0.8867314,3,1.1491083,2021
15471,2021-05-11,0.4269893,-0.6112348,3,0.7456057,2021
15472,2021-05-12,0.0852018,-0.3012157,3,0.313034,2021
15473,2021-05-13,-0.2446465,-0.1910391,1,0.3103995,2021
15474,2021-05-14,-0.4300511,-0.4342508,2,0.611161,2021
15475,2021-05-15,-0.4782915,-0.9313588,2,1.0469919,2021
15476,2021-05-16,-0.3205476,-1.3664755,2,1.403569,2021
15477,2021-05-17,-0.1002346,-1.4909506,2,1.4943161,2021
15478,2021-05-18,0.4683694,-1.3935405,3,1.4701445,2021
15479,2021-05-19,1.310941,-1.1527516,4,1.745681,2021
15480,2021-05-20,1.6639233,-0.5368255,4,1.748377,2021
15481,2021-05-21,1.5817589,-0.1210337,4,1.5863827,2021
15482,2021-05-22,1.5607609,0.2317705,5,1.5778757,2021
15483,2021-05-23,1.5158654,0.534715,5,1.6074104,2021
15484,2021-05-24,1.2385479,0.8335189,5,1.4929014,2021
15485,2021-05-25,0.7509509,0.9109117,6,1.1805453,2021
15486,2021-05-26,0.289549,0.6676479,6,0.7277309,2021
15487,2021-05-27,-0.127357,0.5094376,7,0.5251157,2021
15488,2021-05-28,-0.1268156,0.6179806,7,0.6308583,2021
15489,2021-05-29,0.0279148,1.0370011,6,1.0373768,2021
15490,2021-05-30,-0.0329071,1.3272302,7,1.3276381,2021
15491,2021-05-31,-0.1309102,1.3472927,7,1.3536377,2021
15492,2021-06-01,-0.2767839,1.2997422,7,1.3288865,2021
15493,2021-06-02,-0.5126058,1.046055,7,1.1649016,2021
15494,2021-06-03,-0.5426307,1.0620492,7,1.1926426,2021
15495,2021-06-04,-0.3571497,1.1873242,7,1.2398769,2021
15496,2021-06-05,-0.4014263,1.1234757,7,1.1930385,2021
15497,2021-06-06,-0.3775788,0.9380952,7,1.0112311,2021
15498,2021-06-07,-0.3841471,0.8148694,7,0.900878,2021
15499,2021-06-08,-0.3032599,0.6243858,7,0.6941355,2021
15500,2021-06-09,-0.3016486,0.3734831,7,0.4800849,2021
15501,2021-06-10,-0.2177261,-0.1109031,1,0.2443444,2021
15502,2021-06-11,-0.3943486,-0.3147912,1,0.5045833,2021
15503,2021-06-12,-0.731379,-0.6242264,1,0.9615477,2021
15504,2021-06-13,-0.9332737,-0.8680314,1,1.2745502,2021
15505,2021-06-14,-0.6891457,-1.0840015,2,1.2845159,2021
15506,2021-06-15,-0.5291638,-1.27104,2,1.3767923,2021
15507,2021-06-16,-0.5151358,-1.2552199,2,1.3568132,2021
15508,2021-06-17,-0.4313187,-1.0387428,2,1.1247321,2021
15509,2021-06-18,-0.4496786,-0.8861963,2,0.9937578,2021
15510,2021-06-19,-0.5487371,-0.6523378,2,0.8524418,2021
15511,2021-06-20,-0.6479176,-0.3349434,1,0.7293725,2021
15512,2021-06-21,-0.875864,-0.0497091,1,0.8772735,2021
15513,2021-06-22,-1.1725019,0.0492667,8,1.1735365,2021
15514,2021-06-23,-1.4502038,0.0414523,8,1.4507961,2021
15515,2021-06-24,-1.1858653,-0.2123519,1,1.2047281,2021
15516,2021-06-25,-1.2006192,-0.369406,1,1.2561637,2021
15517,2021-06-26,-1.2349366,-0.6158283,1,1.3799685,2021
15518,2021-06-27,-1.1835233,-0.7987471,1,1.427839,2021
15519,2021-06-28,-1.2228736,-0.5681307,1,1.3484036,2021
15520,2021-06-29,-1.1025866,-0.6152571,1,1.2626317,2021
15521,2021-06-30,-0.8298867,-0.7974421,1,1.150924,2021
15522,2021-07-01,-0.6065025,-1.062428,2,1.2233554,2021
15523,2021-07-02,-0.2343459,-1.1950145,2,1.2177756,2021
15524,2021-07-03,-0.1371862,-1.0896856,2,1.0982871,2021
15525,2021-07-04,0.0449074,-0.8856393,3,0.886777,2021
15526,2021-07-05,0.1300032,-0.6299331,3,0.643208,2021
15527,2021-07-06,0.1076565,-0.5081197,3,0.5193992,2021
15528,2021-07-07,0.0240219,-0.5293449,3,0.5298897,2021
15529,2021-07-08,-0.0459749,-0.5961983,2,0.5979683,2021
15530,2021-07-09,-0.1536332,-0.7249356,2,0.7410362,2021
15531,2021-07-10,-0.1284811,-0.7334639,2,0.7446319,2021
15532,2021-07-11,-0.1628806,-0.6661386,2,0.6857629,2021
15533,2021-07-12,-0.0637318,-0.4985336,2,0.5025907,2021
15534,2021-07-13,0.2083634,-0.4440376,3,0.4904944,2021
15535,2021-07-14,0.3887526,-0.3889403,3,0.549912,2021
15536,2021-07-15,0.5963369,-0.4249406,4,0.7322515,2021
15537,2021-07-16,0.8515584,-0.4687529,4,0.9720499,2021
15538,2021-07-17,1.2217319,-0.291501,4,1.2560261,2021
15539,2021-07-18,1.5690557,-0.1250989,4,1.5740348,2021
15540,2021-07-19,1.5579361,0.2641306,5,1.5801677,2021
15541,2021-07-20,1.519909,1.1258508,5,1.8914713,2021
15542,2021-07-21,1.2267735,1.3968393,6,1.8590678,2021
15543,2021-07-22,1.1417313,1.2405065,6,1.6859438,2021
15544,2021-07-23,0.8589311,1.1624762,6,1.4453766,2021
15545,2021-07-24,0.8648557,1.0030316,6,1.3244047,2021
15546,2021-07-25,0.9317083,0.9395221,6,1.3231713,2021
15547,2021-07-26,0.9904966,0.8711498,5,1.3190851,2021
15548,2021-07-27,1.0686737,1.0945902,6,1.5297683,2021
15549,2021-07-28,0.7892851,1.0352781,6,1.301834,2021
15550,2021-07-29,0.0267593,0.9440131,6,0.9443923,2021
15551,2021-07-30,-0.6743003,0.8418685,7,1.078621,2021
15552,2021-07-31,-1.1528903,0.7835973,8,1.3939801,2021
15553,2021-08-01,-1.2238563,0.7982327,8,1.4611639,2021
15554,2021-08-02,-1.2450421,0.846575,8,1.5055959,2021
15555,2021-08-03,-1.0559722,0.638941,8,1.2342297,2021
15556,2021-08-04,-0.957359,0.5705062,8,1.1144567,2021
15557,2021-08-05,-0.7303325,0.5034329,8,0.8870345,2021
15558,2021-08-06,-0.82063,0.0760951,8,0.8241505,2021
15559,2021-08-07,-0.8201308,-0.3324861,1,0.8849641,2021
15560,2021-08-08,-1.0032953,-0.5622106,1,1.1500791,2021
15561,2021-08-09,-1.112216,-0.7412193,1,1.3365742,2021
15562,2021-08-10,-1.363598,-1.0727783,1,1.735008,2021
15563,2021-08-11,-1.6531775,-1.203316,1,2.0447409,2021
15564,2021-08-12,-1.9254757,-1.2682973,1,2.3056529,2021
15565,2021-08-13,-1.8586636,-1.1990749,1,2.2118795,2021
15566,2021-08-14,-1.6827199,-1.2858974,1,2.1178002,2021
15567,2021-08-15,-1.6592023,-1.5751048,1,2.2877736,2021
15568,2021-08-16,-1.5400997,-1.7967027,2,2.366442,2021
15569,2021-08-17,-1.2644264,-1.6550637,2,2.0827889,2021
15570,2021-08-18,-0.7990581,-1.5559453,2,1.7491311,2021
15571,2021-08-19,-0.5873087,-1.4341208,2,1.5497206,2021
15572,2021-08-20,-0.5716051,-1.3116014,2,1.4307448,2021
15573,2021-08-21,-0.5197896,-0.8090153,2,0.9616065,2021
15574,2021-08-22,-0.6140246,-0.581609,1,0.8457512,2021
15575,2021-08-23,-0.5887352,-0.5266173,1,0.7898955,2021
15576,2021-08-24,-0.5450216,-0.5202049,1,0.7534332,2021
15577,2021-08-25,-0.8782081,-0.7164988,1,1.1334108,2021
15578,2021-08-26,-1.1098907,-0.9891555,1,1.4867032,2021
15579,2021-08-27,-0.8614777,-1.0720581,2,1.3753008,2021
15580,2021-08-28,-0.7158665,-1.0923213,2,1.305998,2021
15581,2021-08-29,-0.7004563,-1.1258565,2,1.3259683,2021
15582,2021-08-30,-0.69012,-1.2793865,2,1.453649,2021
15583,2021-08-31,-0.5239143,-1.225565,2,1.3328525,2021
15584,2021-09-01,-0.3754629,-0.9503523,2,1.0218326,2021
15585,2021-09-02,-0.2763887,-0.9148222,2,0.9556623,2021
15586,2021-09-03,-0.1486447,-0.7780125,2,0.792085,2021
15587,2021-09-04,-0.0090623,-0.7055843,2,0.7056426,2021
15588,2021-09-05,0.3106733,-0.7124386,3,0.7772301,2021
15589,2021-09-06,0.5074938,-0.7640024,3,0.9171966,2021
15590,2021-09-07,0.511824,-0.8134291,3,0.961057,2021
15591,2021-09-08,0.2342231,-1.1017668,3,1.1263883,2021
15592,2021-09-09,-0.0692864,-1.3123497,2,1.3141774,2021
15593,2021-09-10,-0.0586775,-1.2064956,2,1.2079216,2021
15594,2021-09-11,0.1928302,-1.3458723,3,1.359616,2021
15595,2021-09-12,0.4744218,-1.4564707,3,1.5317907,2021
