,Date,PC1,PC2,phase,amplitude,year
39529,2006-01-21,2.1012142,0.980975,5,2.3189251,2006
39530,2006-01-21,2.1389773,0.8764516,5,2.3115778,2006
39531,2006-01-21,1.9909006,1.0307692,5,2.2419124,2006
39532,2006-01-22,2.094028,1.221735,5,2.4243741,2006
39533,2006-01-22,2.1751144,1.4392815,5,2.6081896,2006
39534,2006-01-22,2.2496352,1.3663926,5,2.6320879,2006
39535,2006-01-22,2.0713093,1.4382442,5,2.5216796,2006
39536,2006-01-23,2.0328209,1.5268949,5,2.5423944,2006
39537,2006-01-23,1.9331002,1.6097397,5,2.5155792,2006
39538,2006-01-23,1.8873588,1.4042262,5,2.3524401,2006
39539,2006-01-23,1.6401399,1.3956634,5,2.1535866,2006
39540,2006-01-24,1.5823479,1.5460614,5,2.2122681,2006
39541,2006-01-24,1.4563355,1.5653547,6,2.1380479,2006
39542,2006-01-24,1.4462057,1.4812282,6,2.0701566,2006
39543,2006-01-24,1.1186681,1.5572253,6,1.9173861,2006
39544,2006-01-25,0.9737069,1.8832881,6,2.1201131,2006
39545,2006-01-25,0.7494385,1.9839505,6,2.1207824,2006
39546,2006-01-25,0.8230857,2.0011621,6,2.1638207,2006
39547,2006-01-25,0.6203001,2.0010505,6,2.0949881,2006
39548,2006-01-26,0.5252652,2.1741014,6,2.2366538,2006
39549,2006-01-26,0.4505917,2.2578068,6,2.3023303,2006
39550,2006-01-26,0.4734415,2.1035509,6,2.1561708,2006
39551,2006-01-26,0.330194,2.0588377,6,2.0851476,2006
39552,2006-01-27,0.3436299,2.2266088,6,2.2529688,2006
39553,2006-01-27,0.4409993,2.1579652,6,2.2025654,2006
39554,2006-01-27,0.6294667,2.0152321,6,2.111253,2006
39555,2006-01-27,0.5657644,1.9186271,6,2.0003049,2006
39556,2006-01-28,0.5403332,2.0584056,6,2.1281433,2006
39557,2006-01-28,0.4967996,1.9892845,6,2.0503812,2006
39558,2006-01-28,0.3976381,1.8874121,6,1.9288443,2006
39559,2006-01-28,0.3408336,1.8984523,6,1.928805,2006
39560,2006-01-29,0.2100854,2.0034645,6,2.0144494,2006
39561,2006-01-29,0.3012867,1.9716388,6,1.9945258,2006
39562,2006-01-29,0.2164425,1.7964383,6,1.8094304,2006
39563,2006-01-29,0.0677606,1.6535176,6,1.6549054,2006
39564,2006-01-30,-0.1053556,1.7093204,7,1.7125642,2006
39565,2006-01-30,-0.1908231,1.72175,7,1.7322923,2006
39566,2006-01-30,-0.2059911,1.6459671,7,1.6588068,2006
39567,2006-01-30,-0.4286336,1.6125292,7,1.6685255,2006
39568,2006-01-31,-0.5645356,1.7272969,7,1.8172109,2006
39569,2006-01-31,-0.5820296,1.7270592,7,1.8224962,2006
39570,2006-01-31,-0.5075908,1.6498238,7,1.7261423,2006
39571,2006-01-31,-0.6510787,1.6485549,7,1.7724663,2006
39572,2006-02-01,-0.7452615,1.7836527,7,1.9330885,2006
39573,2006-02-01,-0.7283645,1.6881359,7,1.8385639,2006
39574,2006-02-01,-0.7010383,1.3825547,7,1.550133,2006
39575,2006-02-01,-0.8608616,1.3727528,7,1.6203496,2006
39576,2006-02-02,-0.9674442,1.5050758,7,1.7891902,2006
39577,2006-02-02,-0.9505904,1.4829971,7,1.7615057,2006
39578,2006-02-02,-0.9548197,1.2785313,7,1.5957203,2006
39579,2006-02-02,-1.1796794,1.2301153,7,1.7043554,2006
